Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP,Lev,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Homer Bailey,31,Cincinnati,FF,1575,90.1468531468532,0.04253968253968254,18,18,6.0,9.0,91.0,MLB-NL,0.0006357279084551812,,,,0.38270820089001906,,0.19135410044500953,0.1729179910998093,0.04322949777495232,,,,,0.20915448188175462
Anthony Banda,23,Arizona,FF,418,89.91004784688995,0.05980861244019139,8,4,2.0,3.0,25.2,MLB-NL,0.1937799043062201,0.1722488038277512,,,0.6339712918660287,,,,,,,,,
Johnny Barbato,24,Pittsburgh,FT,478,88.79433962264157,0.04811715481171548,24,0,,1.0,28.2,MLB-NL,0.010460251046025104,0.21548117154811716,,,0.19246861924686193,,,0.3493723849372385,,,,,,0.23221757322175732
Danny Barnes,27,Toronto,FF,1063,88.12351834430856,0.05832549388523048,60,0,3.0,6.0,66.0,MLB-AL,0.27845719661335844,,,,0.6613358419567262,,,0.014111006585136407,,,,,,0.04609595484477893
Jacob Barnes,27,Milwaukee,FF,1228,93.97229013854934,0.06514657980456026,73,0,3.0,4.0,72.0,MLB-NL,,,,0.4552117263843648,0.5431596091205212,,,,,,,,,0.0016286644951140066
Matt Barnes,27,Boston,FF,1204,89.71414309484189,0.06893687707641195,70,0,7.0,3.0,69.2,MLB-AL,,0.314214463840399,,,0.5494596841230258,,,,,,0.0008312551953449709,,,0.13549459684123025
Tony Barnette,33,Texas,FC,1035,88.15932367149757,0.05507246376811594,50,0,2.0,1.0,57.1,MLB-AL,,0.18067632850241547,,0.463768115942029,0.24444444444444444,,0.0463768115942029,,,,,,0.0647342995169082,
Kyle Barraclough,27,Miami,FF,1159,88.45798611111118,0.06557377049180328,66,0,6.0,2.0,66.0,MLB-NL,0.043402777777777776,,,,0.5425347222222222,,,,,,,,,0.4140625
Jake Barrett,25,Arizona,FF,471,92.86815286624216,0.055201698513800426,28,0,1.0,1.0,27.0,MLB-NL,,,,,0.6836518046709129,,0.04670912951167728,0.0021231422505307855,,,,,,0.267515923566879
Trevor Bauer,26,Cleveland,FF,3301,87.7664545454545,0.06270827022114511,32,31,17.0,9.0,176.1,MLB-AL,0.07575757575757576,,,0.11666666666666667,0.3596969696969697,,,0.13333333333333333,0.30363636363636365,,,,,0.01090909090909091
Buddy Baumann,29,San Diego,FF,297,88.44646464646462,0.0707070707070707,23,0,2.0,1.0,17.2,MLB-NL,0.030303030303030304,,,,0.3939393939393939,,,0.37037037037037035,,,,,,0.2053872053872054
Chris Beck,26,Chicago,FF,1152,91.48215839860744,0.036458333333333336,57,0,2.0,1.0,64.2,MLB-AL,0.1061792863359443,,,,0.5056570931244561,,,0.08093994778067885,,,,,,0.3072236727589208
Cam Bedrosian,25,Los Angeles,FF,765,89.79647058823532,0.06928104575163399,48,0,6.0,5.0,44.2,MLB-AL,,,,,0.5764705882352941,,,,,,0.00130718954248366,,,0.4222222222222222
Matt Belisle,37,Minnesota,FF,947,87.02228088701162,0.057022175290390706,62,0,2.0,2.0,60.1,MLB-AL,0.005279831045406547,0.11404435058078141,,,0.4593453009503696,,,0.09292502639915523,,,,,,0.32840549102428723
Jeff Beliveau,30,Toronto,FF,296,86.27567567567573,0.057432432432432436,19,0,1.0,1.0,15.2,MLB-AL,0.06418918918918919,0.17905405405405406,,0.0945945945945946,0.6587837837837838,,,0.0033783783783783786,,,,,,
Chad Bell,28,Detroit,FT,1187,89.3081718618364,0.04802021903959562,28,4,,3.0,62.1,MLB-AL,0.10446503791069923,,,0.18871103622577928,0.06739679865206402,,,0.5172704296545914,,,,,,0.12215669755686605
Joaquin Benoit,39,"Philadelphia,Pittsburgh",FF,861,90.95632984901269,0.053426248548199766,52,0,1.0,6.0,50.1,MLB-NL,0.27990708478513354,,,,0.5017421602787456,,,0.09291521486643438,,,,,,0.1254355400696864
Christian Bergman,29,Seattle,SI,800,85.3580725907385,0.04125,13,8,4.0,5.0,54.0,MLB-AL,0.11264080100125157,0.1214017521902378,,,,,,,,,,,0.4856070087609512,0.28035043804755944
Jose Berrios,23,Minnesota,FF,2447,89.07736003269306,0.05843890478136494,26,25,14.0,8.0,145.2,MLB-AL,0.08581937065794851,0.30159378831221906,,,0.3101757253780139,,,0.3020024519820188,,,0.0004086636697997548,,,
Dellin Betances,29,New York,FF,1189,90.90380710659892,0.08915054667788057,66,0,3.0,6.0,59.2,MLB-AL,,,,,0.4600504625735913,,,,0.3843566021867115,,,,,0.15559293523969722
Chad Bettis,28,Colorado,FF,736,86.05855978260864,0.04076086956521739,9,9,2.0,4.0,46.1,MLB-NL,0.2703804347826087,0.15489130434782608,,,0.40353260869565216,,,0.10733695652173914,,,,,,0.06385869565217392
Joe Biagini,27,Toronto,FT,1936,89.11159420289849,0.05010330578512397,44,18,3.0,13.0,119.2,MLB-AL,0.1438178996378686,0.21520951888256595,,0.09570615623383343,0.061562338334195554,,,0.4831867563372995,,,0.0005173305742369374,,,
Austin Bibens-Dirkx,32,Texas,SL,1171,86.90076857386859,0.032450896669513236,24,6,5.0,2.0,69.1,MLB-AL,0.1596925704526046,0.1332194705380017,,,0.28949615713065757,,,0.12382578992314261,,,,,,0.2937660119555935
Ty Blach,26,San Francisco,SI,2519,85.68257063270971,0.028979753870583564,34,24,8.0,12.0,163.2,MLB-NL,0.23756466374850777,0.1062475129327497,,,0.013131715081575806,,,,,,,,0.5873458018304815,0.055710306406685235
Paul Blackburn,23,Oakland,FT,937,86.75876068376083,0.023479188900747065,10,10,3.0,1.0,58.2,MLB-AL,0.09188034188034189,0.09188034188034189,,,0.0811965811965812,,,0.47435897435897434,,,,,,0.2606837606837607
Joe Blanton,36,Washington,SL,765,86.78549019607844,0.050980392156862744,51,0,2.0,4.0,44.1,MLB-NL,0.1542483660130719,0.11895424836601307,,,0.2823529411764706,,,0.10326797385620914,,,,,,0.3411764705882353
Richard Bleier,30,Baltimore,SI,914,87.54834801762114,0.028446389496717725,57,0,2.0,1.0,63.1,MLB-AL,0.07268722466960352,,,0.2544052863436123,0.0671806167400881,,,,,,,,0.5704845814977973,0.03524229074889868
Jerry Blevins,33,New York,CU,914,79.67122538293212,0.07549234135667396,75,0,6.0,,49.0,MLB-NL,0.04157549234135667,0.5010940919037199,,,0.449671772428884,,,0.007658643326039387,,,,,,
Mike Bolsinger,29,Toronto,FC,756,84.55112582781463,0.051587301587301584,11,5,,3.0,41.1,MLB-AL,0.02781456953642384,0.33112582781456956,,0.3483443708609272,0.13642384105960265,,,,,,,,,0.1562913907284768
Lisalverto Bonilla,27,Cincinnati,FF,652,87.08450920245403,0.04294478527607362,10,4,1.0,3.0,36.2,MLB-NL,0.26993865030674846,0.23159509202453987,,,0.35429447852760737,,,0.13957055214723926,,,0.004601226993865031,,,
Buddy Boshers,29,Minnesota,SI,560,85.47339285714287,0.05,38,0,1.0,,35.0,MLB-AL,0.15714285714285714,0.3535714285714286,,,,,,,,,,,0.48928571428571427,
Brad Boxberger,29,Tampa Bay,FF,500,88.84819999999992,0.08,30,0,4.0,4.0,29.1,MLB-AL,0.23,0.004,,,0.656,,,,,,,,,0.11
Matthew Boyd,26,Detroit,FF,2356,85.88029072253111,0.0466893039049236,26,25,6.0,11.0,135.0,MLB-AL,0.20820863616930313,0.18084651560495937,,,0.25053441641727237,,,0.24454895254382214,,,,,,0.115861479264643
Blaine Boyer,35,Boston,FF,691,89.69710564399419,0.04775687409551375,32,0,1.0,1.0,41.1,MLB-AL,,0.07670043415340087,,,0.37337192474674386,,,0.18234442836468887,,,,,,0.3675832127351664
Brad Brach,31,Baltimore,FF,1175,91.83165957446813,0.059574468085106386,67,0,4.0,5.0,68.0,MLB-AL,0.22127659574468084,,,0.022127659574468085,0.5753191489361702,,0.000851063829787234,0.0374468085106383,,,,,,0.14297872340425533
Silvino Bracho,24,Arizona,FF,349,88.67220630372492,0.07163323782234957,21,0,,,20.2,MLB-NL,0.3008595988538682,,,,0.49283667621776506,,,0.014326647564469915,,,,,,0.19197707736389685
Chasen Bradford,27,New York,SI,507,88.63814229249,0.05325443786982249,28,0,2.0,,33.2,MLB-NL,0.037549407114624504,,,,0.23517786561264822,,,,,,,,0.47035573122529645,0.25691699604743085
Archie Bradley,24,Arizona,FF,1271,93.23301587301577,0.06608969315499606,63,0,3.0,3.0,73.0,MLB-NL,0.0007874015748031496,,,,0.7503937007874015,,,0.013385826771653543,0.2094488188976378,,,,,0.025984251968503937
