Name,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Buddy Boshers,0.157142857,0.353571429,0,0,0,0,0,0,0,0,0,0,0.489285714,0
Brad Boxberger,0.23,0.004,0,0,0.656,0,0,0,0,0,0,0,0,0.11
Matthew Boyd,0.208208636,0.180846516,0,0,0.250534416,0,0,0.244548953,0,0,0,0,0,0.115861479
Blaine Boyer,0,0.076700434,0,0,0.373371925,0,0,0.182344428,0,0,0,0,0,0.367583213
Brad Brach,0.221276596,0,0,0.02212766,0.575319149,0,0.000851064,0.037446809,0,0,0,0,0,0.142978723
Silvino Bracho,0.300859599,0,0,0,0.492836676,0,0,0.014326648,0,0,0,0,0,0.191977077
Chasen Bradford,0.037549407,0,0,0,0.235177866,0,0,0,0,0,0,0,0.470355731,0.256916996
Archie Bradley,0.000787402,0,0,0,0.750393701,0,0,0.013385827,0.209448819,0,0,0,0,0.025984252
Michael Brady,0.114606742,0.060674157,0,0.471910112,0.305617978,0,0,0.047191011,0,0,0,0,0,0
Steven Brault,0.123630673,0.018779343,0,0,0.580594679,0,0,0.142410016,0,0,0,0,0,0.13458529
John Brebbia,0.023498695,0.002610966,0,0,0.497389034,0,0,0.069190601,0,0,0.001305483,0,0,0.406005222
Craig Breslow,0.18381113,0.192242833,0,0,0.037099494,0,0,0.586846543,0,0,0,0,0,0
Austin Brice,0.01010101,0.133333333,0,0,0.2,0,0,0,0,0,0,0,0.424242424,0.232323232
Parker Bridwell,0.099544937,0.205915813,0,0.17519909,0.342434585,0,0,0.176905575,0,0,0,0,0,0
Zach Britton,0,0,0,0,0.071672355,0,0,0,0,0,0,0,0.875426621,0.052901024
Rex Brothers,0.005277045,0,0,0,0.654353562,0,0,0,0,0,0,0,0,0.340369393
Jonathan Broxton,0,0,0,0,0.527027027,0,0,0.118243243,0,0,0.003378378,0,0,0.351351351
Jake Buchanan,0.097345133,0.115044248,0,0,0.420353982,0,0,0,0,0,0,0,0.097345133,0.269911504
Ryan Buchter,0,0.079307201,0,0.105742935,0.814949863,0,0,0,0,0,0,0,0,0
Madison Bumgarner,0.054918527,0.155099578,0,0.36089318,0.129149065,0,0,0.29993965,0,0,0,0,0,0
Aaron Bummer,0.018716578,0,0,0,0.163101604,0,0,0,0,0,0,0,0.449197861,0.368983957
Dylan Bundy,0.134895279,0.102946397,0,0,0.440539581,0,0,0.096556621,0,0,0,0,0,0.225062123
Alan Busenitz,0.00589391,0.292730845,0,0,0.628683694,0,0,0.072691552,0,0,0,0,0,0
Matt Bush,0.001059322,0.137711864,0,0.121822034,0.451271186,0,0,0.240466102,0,0,0,0,0,0.047669492
Eddie Butler,0.09190372,0.154266958,0,0.048140044,0.425601751,0,0,0.280087527,0,0,0,0,0,0
Trevor Cahill,0.212360289,0,0,0.103879027,0.021696252,0,0,0,0.218934911,0,0,0,0.44312952,0
Matt Cain,0.109073359,0.230212355,0,0,0.353281853,0,0,0.200289575,0,0,0.000965251,0,0,0.106177606
Leonel Campos,0.03539823,0,0,0,0.473451327,0,0,0.022123894,0,0,0,0,0,0.469026549
Carter Capps,0.010471204,0,0,0,0.617801047,0,0,0,0.371727749,0,0,0,0,0
Carlos Carrasco,0.16352,0.18144,0,0,0.39296,0,0,0.096,0,0,0,0,0,0.16608
Andrew Cashner,0.134929685,0.082858229,0,0,0.128468263,0,0,0.540478905,0,0,0,0,0,0.113264918
Santiago Casilla,0.048086359,0,0,0,0.211972522,0,0,0.410206084,0.214916585,0,0,0,0,0.114818449
Luis Castillo,0.224393531,0,0,0,0.465633423,0,0,0.157008086,0,0,0.000673854,0,0,0.152291105
Miguel Castro,0.104854369,0,0,0,0.018446602,0,0,0,0,0,0,0,0.6,0.276699029
Simon Castro,0,0,0,0,0.729411765,0,0,0.010084034,0,0,0,0,0,0.260504202
Brett Cecil,0.131282051,0,0,0.168205128,0.30974359,0,0,0,0.291282051,0,0,0,0.099487179,0
Luis Cessa,0.192307692,0.088141026,0,0,0.418269231,0,0,0.001602564,0,0,0,0,0,0.299679487
Jhoulys Chacin,0.060418812,0.040508067,0,0,0.163062135,0,0,0.382766907,0,0,0,0,0,0.353244078
Andrew Chafin,0.004474273,0.001118568,0,0,0.197986577,0,0,0,0,0,0,0,0.406040268,0.390380313
Aroldis Chapman,0.034722222,0,0,0,0.766865079,0,0,0,0,0,0,0,0.000992063,0.197420635
Tyler Chatwood,0.042293615,0.110614071,0,0.212688085,0.344855632,0,0,0.289548597,0,0,0,0,0,0
Jesse Chavez,0.144155844,0.080519481,0,0.057142857,0.410822511,0,0,0.145454545,0,0,0.001731602,0,0,0.16017316
Wei-Yin Chen,0.131845842,0.129817444,0,0,0.54158215,0,0,0.107505071,0,0,0.002028398,0,0,0.087221095
Tony Cingrani,0.059493671,0,0,0,0.813924051,0,0,0,0,0,0,0,0,0.126582278
Steve Cishek,0.013717421,0,0,0,0.021947874,0,0,0,0,0,0,0,0.477366255,0.48696845
Alex Claudio,0.300531915,0,0,0,0.00177305,0,0,0,0,0,0,0,0.564716312,0.132978723
Mike Clevinger,0.163104089,0.114312268,0,0,0.527416357,0,0,0.00464684,0,0,0,0,0,0.190520446
Tyler Clippard,0.355795148,0,0,0,0.380053908,0,0.264150943,0,0,0,0,0,0,0
Alex Cobb,0,0,0,0,0.516332982,0,0.142606252,0,0.340709519,0,0.000351247,0,0,0
A.J. Cole,0.065101387,0.177161153,0,0,0.459978655,0,0,0.08751334,0,0,0,0,0,0.210245464
Gerrit Cole,0.103322158,0,0,0,0.470588235,0,0,0.130752819,0.120999695,0,0.000914355,0,0,0.173422737
