Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP
Ben Lively,25,Philadelphia,FF,1411,86.51292614,0.036853296,15,15,4,7,88.2
Jeff Locke,29,Miami,FT,574,86.1452007,0.045296167,7,7,,5,32
Boone Logan,32,Cleveland,SL,363,88.09669421,0.077134986,38,0,1,,21
Reynaldo Lopez,23,Chicago,FF,767,89.58653595,0.039113429,8,8,3,3,47.2
Michael Lorenzen,25,Cincinnati,FT,1366,92.55644217,0.058565154,70,0,8,4,83
Aaron Loup,29,Toronto,SI,1008,88.03164683,0.063492063,70,0,2,3,57.2
Seth Lugo,27,New York,FT,1641,86.9755814,0.051797684,19,18,7,5,101.1
Jordan Lyles,26,"Colorado,San Diego",FF,1259,90.4868,0.043685465,38,5,1,5,69.2
Lance Lynn,30,St. Louis,FT,3151,90.42565978,0.048556014,33,33,11,8,186.1
Tyler Lyons,29,St. Louis,SL,902,84.61198668,0.075388027,50,0,4,1,54
Austin Maddox,26,Boston,FT,316,91.74082278,0.050632911,13,0,,,17.1
Ryan Madson,36,"Washington,Oakland",FT,931,91.41010753,0.076262084,60,0,5,4,59
Kenta Maeda,29,Los Angeles,FF,2333,86.45685432,0.064294899,29,25,13,6,134.1
Tyler Mahle,22,Cincinnati,FF,369,89.54483696,0.037940379,4,4,1,2,20
Sean Manaea,25,Oakland,FF,2688,87.636946,0.052083333,29,29,12,10,158.2
Jhan Marinez,28,"Pittsburgh,Milwaukee,Texas",FT,970,92.45469556,0.046391753,43,0,,3,58.1
German Marquez,22,Colorado,FF,2661,90.49634652,0.05524239,29,29,11,7,162
Francis Martes,21,Houston,FF,1027,91.20467381,0.067185979,32,4,5,2,54.1
Carlos Martinez,25,St. Louis,FF,3132,91.379744,0.069284802,32,32,12,11,205
Nick Martinez,26,Texas,FF,1815,88.79498328,0.036914601,23,18,3,8,111.1
Phil Maton,24,San Diego,FF,730,89.78723703,0.063013699,46,0,3,2,43
Steven Matz,26,New York,SI,1170,88.05504274,0.041025641,13,13,2,7,66.2
Brandon Maurer,26,"San Diego,Kansas City",FF,1027,91.66321951,0.05744888,68,0,3,6,59.1
Tim Mayza,25,Toronto,SL,340,90.00558824,0.079411765,19,0,1,,17
Zach McAllister,29,Cleveland,FF,975,92.50185185,0.067692308,50,0,2,2,62
Brandon McCarthy,33,Los Angeles,FF,1468,89.71326042,0.049046322,19,16,6,4,92.2
Kevin McCarthy,25,Kansas City,SI,715,90.6751049,0.037762238,33,0,1,,45
Lance McCullers Jr.,23,Houston,KC,2334,89.4511178,0.064695801,22,22,7,4,118.2
T.J. McFarland,28,Arizona,SI,829,89.11531966,0.034981906,43,1,4,5,54
Jake McGee,30,Colorado,FF,947,93.84418605,0.06124604,62,0,,2,57.1
Dustin McGowan,35,Miami,SL,1176,90.99497872,0.054421769,63,0,8,2,77.2
Kyle McGrath,24,San Diego,FF,307,81.95979381,0.052117264,17,0,,,19
Deck McGuire,28,Cincinnati,FF,210,88.97942584,0.052380952,6,2,1,1,13.2
Collin McHugh,30,Houston,FF,1182,84.69458086,0.058375635,12,12,5,2,63.1
Adalberto Mejia,24,Minnesota,FF,1752,88.57329513,0.048515982,21,21,4,7,98
Mark Melancon,32,San Francisco,FC,502,88.7,0.057768924,32,0,1,2,30
Yohander Mendez,22,Texas,FF,191,88.89947644,0.036649215,7,0,,1,12.1
Daniel Mengden,24,Oakland,FF,650,86.48938462,0.044615385,7,7,3,2,43
Ryan Merritt,25,Cleveland,FF,320,82.663125,0.021875,5,4,2,,20.2
Alex Meyer,27,Los Angeles,CU,1169,91.38200692,0.064157399,13,13,4,5,67.1
Keynan Middleton,23,Los Angeles,FF,977,93.73442623,0.064483112,64,0,6,1,58.1
Wade Miley,30,Baltimore,FT,3054,87.36685228,0.046496398,32,32,8,15,157.1
Andrew Miller,32,Cleveland,SL,1083,88.17618165,0.095106187,57,0,4,3,62.2
Shelby Miller,26,Arizona,FT,386,90.52311688,0.051813472,4,4,2,2,22
Hoby Milner,26,Philadelphia,SI,542,85.15369004,0.040590406,37,0,,,31.1
Tommy Milone,30,"New York,Milwaukee",FF,866,84.04849885,0.043879908,17,8,1,3,48.1
Juan Minaya,26,Chicago,FF,809,90.65421836,0.063040791,40,0,3,2,43.2
Mike Minor,29,Kansas City,FF,1192,90.60579345,0.073825503,65,0,6,6,77.2
A.J. Minter,23,Atlanta,FF,248,93.09596774,0.10483871,16,0,,1,15
Ariel Miranda,28,Seattle,FF,2662,87.756574,0.051465064,31,29,8,7,160
Bryan Mitchell,26,New York,FF,535,91.01273408,0.031775701,20,1,1,1,32.2
Frankie Montas,24,Oakland,FF,620,94.07718447,0.058064516,23,0,1,1,32
Rafael Montero,26,New York,FF,2219,90.12035199,0.051374493,34,18,5,11,119
Jordan Montgomery,24,New York,CU,2527,86.59861386,0.056984567,29,29,9,7,155.1
Mike Montgomery,27,Chicago,FF,2196,87.16297814,0.047358834,44,14,7,8,130.2
Andrew Moore,23,Seattle,FF,919,85.55163399,0.033732318,11,9,1,5,59
Matt Moore,28,San Francisco,FF,2875,88.19195402,0.051478261,32,31,6,15,174.1
Adam Morgan,27,Philadelphia,SL,906,86.02497238,0.069536424,37,0,3,3,54.2
Mike Morin,26,"Kansas City,Los Angeles",FF,344,81.94593023,0.046511628,16,0,,,20
Bryan Morris,30,San Francisco,FC,320,90.5471875,0.046875,20,0,2,,21
Brandon Morrow,32,Los Angeles,FF,788,94.98732212,0.078680203,45,0,6,,43.2
Charlie Morton,33,Houston,FT,2724,89.6965035,0.069016153,25,25,14,7,146.2
Jason Motte,35,Atlanta,FC,652,90.07480799,0.041411043,46,0,1,,40.2
Peter Moylan,38,Kansas City,SI,902,84.77591565,0.050997783,79,0,,,59.1
Joe Musgrove,24,Houston,FF,1850,88.34878313,0.054594595,38,15,7,8,109.1
Zach Neal,28,Oakland,FT,244,87.59303279,0.040983607,6,0,,,14.2
Jimmy Nelson,28,Milwaukee,SI,2752,90.95717921,0.072311047,29,29,12,6,175.1
Hector Neris,28,Philadelphia,FS,1232,90.6943948,0.069805195,74,0,4,5,74.2
Pat Neshek,36,"Philadelphia,Colorado",SL,962,86.11675338,0.073804574,71,0,5,3,62.1
Dovydas Neverauskas,24,Pittsburgh,FF,422,92.79756691,0.04028436,24,0,1,1,25.1
Sean Newcomb,24,Atlanta,FF,1831,89.03691972,0.058984162,19,19,4,9,100
Juan Nicasio,30,"St. Louis,Pittsburgh,Philadelphia",FF,1227,93.39942101,0.058679707,76,0,5,5,72.1
Justin Nicolino,25,Miami,FF,840,86.76293206,0.030952381,20,8,2,3,48
Aaron Nola,24,Philadelphia,FF,2665,86.22218468,0.069043152,27,27,12,11,168
Ricky Nolasco,34,Los Angeles,FT,3091,85.07847896,0.046263345,33,33,6,15,181
Bud Norris,32,Los Angeles,FC,1103,90.76855059,0.067089755,59,3,2,6,62
Daniel Norris,24,Detroit,FF,1827,89.37520525,0.047071702,22,18,5,8,101.2
Ivan Nova,30,Pittsburgh,FT,2677,89.44447031,0.048935375,31,31,11,14,187
Vidal Nuno,29,Baltimore,SL,305,85.03081967,0.042622951,12,0,,1,14.2
Darren O'Day,34,Baltimore,SL,1011,84.13481701,0.075173096,64,0,2,3,60.1
Eric O'Flaherty,32,Atlanta,SI,301,88.31925676,0.049833887,22,0,,,18.1
Chris O'Grady,27,Miami,FF,552,83.23793103,0.054347826,13,6,2,1,33
Scott Oberg,27,Colorado,FF,1000,93.0164,0.057,66,0,,1,58.1
Jake Odorizzi,27,Tampa Bay,FF,2627,87.15114416,0.048344119,28,28,10,8,143.1
Seunghwan Oh,34,St. Louis,FF,1030,89.77327502,0.052427184,62,0,1,6,59.1
Steven Okert,25,San Francisco,FF,461,88.52608696,0.047722343,44,0,1,1,27
Tyler Olson,27,Cleveland,CU,327,82.06748466,0.06116208,30,0,1,,20
Josh Osich,28,San Francisco,FF,761,89.42671053,0.056504599,54,0,3,2,43.1
Roberto Osuna,22,Toronto,FF,961,91.09384776,0.086368366,66,0,3,4,64
Dan Otero,32,Cleveland,SI,849,88.44970344,0.044758539,52,0,3,,60
Adam Ottavino,31,Colorado,SL,1052,88.15843661,0.059885932,63,0,2,3,53.1
Dillon Overton,25,"Seattle,San Diego",FF,374,84.62967914,0.029411765,10,2,,1,23
Emilio Pagan,26,Seattle,FF,717,90.73170391,0.078103208,34,0,2,3,50.1
Eduardo Paredes,22,Los Angeles,FF,356,89.67971831,0.047752809,18,0,,1,22.1
Blake Parker,32,Los Angeles,FF,1068,88.79271523,0.080524345,71,0,3,3,67.1
David Paulino,23,Houston,FF,529,85.91534091,0.064272212,6,6,2,,29
James Paxton,28,Seattle,FF,2268,91.37394958,0.068783069,24,24,12,5,136
James Pazos,26,Seattle,SI,929,92.05555556,0.069967707,59,0,4,5,53.2
Brad Peacock,29,Houston,SL,2486,87.00933602,0.071198713,34,21,13,2,132
Mike Pelfrey,33,Chicago,SI,2291,86.09886264,0.034482759,34,21,3,12,120
Felix Pena,27,Chicago,FF,605,90.12644628,0.061157025,25,0,1,,34.1
Wandy Peralta,25,Cincinnati,FF,1017,91.82128079,0.056047198,69,0,3,4,64.2
Wily Peralta,28,Milwaukee,FF,1121,90.98180196,0.046387154,19,8,5,4,57.1
Luis Perdomo,24,San Diego,FT,2558,90.57253135,0.046129789,29,29,8,11,164.1
Martin Perez,26,Texas,FT,3097,88.93209438,0.037132709,32,32,13,12,185
Oliver Perez,35,Washington,SL,607,87.10746269,0.064250412,50,0,,,33
Dillon Peters,24,Miami,CU,519,85.7982659,0.052023121,6,6,1,2,31.1
Yusmeiro Petit,32,Los Angeles,FF,1347,85.14230483,0.07498144,60,1,5,2,91.1
Jake Petricka,29,Chicago,FT,481,92.21987448,0.054054054,27,0,1,1,25.2
David Phelps,30,"Miami,Seattle",FF,971,90.95252317,0.063851699,54,0,4,5,55.2
Tyler Pill,27,New York,SI,390,85.19742931,0.041025641,7,3,,3,22
Michael Pineda,28,New York,FF,1553,89.87858065,0.05924018,17,17,8,4,96.1
Ricardo Pinto,23,Philadelphia,FF,576,91.94375,0.043402778,25,0,1,2,29.2
Nick Pivetta,24,Philadelphia,FF,2439,90.1492819,0.057400574,26,26,8,10,133
Drew Pomeranz,28,Boston,FF,3127,86.49140549,0.055964183,32,32,17,6,173.2
Rick Porcello,28,Boston,FF,3465,86.75922386,0.053391053,33,33,11,17,203.1
Brooks Pounders,26,Los Angeles,FF,214,89.41962617,0.056074766,11,0,1,,10.1
Ryan Pressly,28,Minnesota,FF,890,91.32842697,0.068539326,57,0,2,3,61.1
David Price,31,Boston,FT,1348,91.05360595,0.060830861,16,11,6,3,74.2
Austin Pruitt,27,Tampa Bay,FF,1333,87.94432757,0.049512378,30,8,7,5,83
Kevin Quackenbush,28,San Diego,FF,510,86.04843137,0.045098039,20,0,,2,26.1
Chad Qualls,38,Colorado,SI,252,89.35436508,0.043650794,19,0,1,1,16.2
Jose Quintana,28,Chicago,FF,3423,87.41003217,0.063978966,32,32,11,11,188.2
Carlos Ramirez,26,Toronto,SL,215,87.68504673,0.065116279,12,0,,,16.2
Erasmo Ramirez,27,"Tampa Bay,Seattle",FT,1998,88.45756662,0.054554555,37,19,5,6,131.1
Jose Ramirez,27,Atlanta,FF,1031,93.93658777,0.054316198,68,0,2,3,62
Neil Ramirez,28,"New York,San Francisco",SL,641,87.58109375,0.068642746,29,0,,1,31.1
Noe Ramirez,27,"Los Angeles,Boston",CH,214,84.53925234,0.065420561,12,0,,,13
AJ Ramos,30,"Miami,New York",SL,1104,85.43923706,0.065217391,61,0,2,4,58.2
Edubray Ramos,24,Philadelphia,SL,1007,87.57457627,0.074478649,59,0,2,7,57.2
Josh Ravin,29,Los Angeles,FF,278,92.37978339,0.068345324,14,0,,1,16.2
Robbie Ray,25,Arizona,FF,2837,89.72074205,0.080014099,28,28,15,5,162
Addison Reed,28,"New York,Boston",FF,1208,89.99859272,0.062913907,77,0,2,3,76
Cody Reed,24,Cincinnati,FF,331,90.68519637,0.051359517,12,1,1,1,17.2
Clayton Richard,33,San Diego,FT,3045,87.89210614,0.049589491,32,32,8,15,197.1
Garrett Richards,29,Los Angeles,FF,427,92.16643192,0.06323185,6,6,,2,27.2
Yacksel Rios,24,Philadelphia,FF,277,90.86836364,0.061371841,13,0,1,,16.1
Tanner Roark,30,Washington,FT,3216,87.76222775,0.051616915,32,30,13,11,181.1
David Robertson,32,"New York,Chicago",FC,1222,87.28918033,0.093289689,61,0,9,2,68.1
Hansel Robles,26,New York,FF,949,92.06069547,0.063224447,46,0,7,5,56.2
Fernando Rodney,40,Arizona,CH,1001,90.07653575,0.066933067,61,0,5,4,55.1
Carlos Rodon,24,Chicago,FF,1181,89.87372881,0.064352244,12,12,2,5,69.1
Eduardo Rodriguez,24,Boston,FF,2466,90.61801948,0.060827251,25,24,6,7,137.1
Francisco Rodriguez,35,Detroit,FF,433,85.72436195,0.053117783,28,0,2,5,25.1
Joely Rodriguez,25,Philadelphia,FT,499,90.69899396,0.036072144,26,0,1,2,27
Ricardo Rodriguez,24,Texas,FF,242,91.88016529,0.045454545,16,0,,1,13
Chaz Roe,30,"Atlanta,Tampa Bay",SL,164,86.67865854,0.079268293,12,0,,,10.2
Taylor Rogers,26,Minnesota,FT,874,88.10286369,0.057208238,69,0,7,3,55.2
Sal Romano,23,Cincinnati,FF,1498,92.34913218,0.048731642,16,16,5,8,87
Enny Romero,26,Washington,FF,1026,95.7214,0.063352827,53,0,2,4,55.2
Sergio Romo,34,"Tampa Bay,Los Angeles",SL,912,80.36244493,0.064692982,55,0,3,1,55.2
Bruce Rondon,26,Detroit,FF,328,91.78623853,0.067073171,21,0,1,3,15.2
Hector Rondon,29,Chicago,FF,1049,92.47891221,0.069590086,61,0,4,1,57.1
Trevor Rosenthal,27,St. Louis,FF,883,95.58253968,0.086070215,50,0,3,4,47.2
Joe Ross,24,Washington,SI,1204,88.4962775,0.056478405,13,13,5,3,73.2
Tyson Ross,30,Texas,FF,968,88.87318841,0.037190083,12,10,3,3,49
Chris Rowley,26,Toronto,SI,309,85.88571429,0.035598706,6,3,1,2,18.2
Chris Rusin,30,Colorado,SI,1241,88.39701372,0.059629331,60,0,5,1,85
Hyun-Jin Ryu,30,Los Angeles,FF,2128,83.82936997,0.054511278,25,24,5,9,126.2
Marc Rzepczynski,31,Seattle,SI,502,89.5174,0.049800797,64,0,2,2,31.1
CC Sabathia,36,New York,SL,2650,85.93632931,0.05245283,27,27,14,5,148.2
Fernando Salas,32,"Los Angeles,New York",FF,1038,88.87567568,0.053949904,61,0,2,2,58.2
Danny Salazar,27,Cleveland,FF,1856,91.33419633,0.079741379,23,19,5,6,103
Chris Sale,28,Boston,FF,3605,88.27121044,0.088765603,32,32,17,8,214.1
Jeff Samardzija,32,San Francisco,FT,3273,90.23998162,0.062633669,32,32,9,15,207.2
Aaron Sanchez,24,Toronto,FF,613,91.97152209,0.039151713,8,8,1,3,36
Angel Sanchez,27,Pittsburgh,FF,208,92.12740385,0.048076923,8,0,1,,12.1
Anibal Sanchez,33,Detroit,FF,1855,86.57961165,0.05606469,28,17,3,7,105.1
Edgar Santana,25,Pittsburgh,SI,296,91.73885135,0.067567568,19,0,,,18
Ervin Santana,34,Minnesota,SL,3299,89.066697,0.0506214,33,33,16,8,211.1
Hector Santiago,29,Minnesota,SI,1236,86.88066343,0.041262136,15,14,4,8,70.1
Luis Santos,26,Toronto,FF,274,88.3189781,0.058394161,10,0,,1,16.2
Warwick Saupold,27,Detroit,FF,1088,89.74839006,0.040441176,45,0,3,2,62.2
Rob Scahill,30,Milwaukee,FT,344,91.87819767,0.029069767,18,0,1,3,22.1
Max Scherzer,32,Washington,FF,3237,89.03344699,0.085264133,31,31,16,6,200.2
A.J. Schugel,28,Pittsburgh,SI,496,86.94623431,0.054435484,32,0,4,,32
Robby Scott,27,Boston,SI,594,83.42575758,0.052188552,57,0,2,1,35.2
Troy Scribner,25,Los Angeles,FF,383,83.12767624,0.046997389,10,4,2,1,23.2
Antonio Senzatela,22,Colorado,FF,2217,90.95282167,0.046008119,36,20,10,5,134.2
Luis Severino,23,New York,FF,3365,92.99143876,0.07191679,31,31,14,6,193.1
Paul Sewald,27,New York,FF,1132,88.33410097,0.060954064,57,0,,6,65.1
Kevin Shackelford,28,Cincinnati,SL,517,91.90386847,0.073500967,26,0,,,30.2
Bryan Shaw,29,Cleveland,FC,1279,93.0385278,0.060985145,79,0,4,6,76.2
Jimmie Sherfy,25,Arizona,SL,183,85.56885246,0.054644809,11,0,2,,10.2
Ryan Sherriff,27,St. Louis,SI,218,89.3233945,0.068807339,13,0,2,1,14.1
James Shields,35,Chicago,FF,2016,84.83527074,0.05109127,21,21,5,7,117
Braden Shipley,25,Arizona,FF,487,88.42731006,0.036960986,10,3,,1,25
Matt Shoemaker,30,Los Angeles,FS,1264,87.63758921,0.054588608,14,14,6,3,77.2
Chasen Shreve,26,New York,FF,851,87.96580494,0.068155112,44,0,4,1,45.1
Kevin Siegrist,27,"St. Louis,Philadelphia",FF,681,86.9982327,0.063142438,46,0,1,1,39.1
Lucas Sims,23,Atlanta,SL,985,87.24781726,0.044670051,14,10,3,6,57.2
Tony Sipp,33,Houston,SL,664,86.07078313,0.05873494,46,0,,1,37.1
Tyler Skaggs,25,Los Angeles,FF,1394,86.29590517,0.054519369,16,16,2,6,85
Eric Skoglund,24,Kansas City,FF,387,88.20465116,0.036175711,7,5,1,2,18
Aaron Slegers,24,Minnesota,SI,231,88.1987013,0.038961039,4,3,,1,15.1
Caleb Smith,25,New York,FF,341,88.54529412,0.052785924,9,2,,1,18.2
Joe Smith,33,"Toronto,Cleveland",SI,828,86.17717391,0.089371981,59,0,3,,54
Josh Smoker,28,New York,FF,1057,89.14815516,0.064333018,54,0,1,2,56.1
Blake Snell,24,Tampa Bay,FF,2278,89.92848352,0.052238806,24,24,5,7,129.1
Miguel Socolovich,30,St. Louis,FF,325,86.79138462,0.043076923,15,0,,1,18.2
Sammy Solis,28,Washington,SI,469,88.92302772,0.061833689,30,0,1,,26
Joakim Soria,33,Kansas City,FF,993,87.90070565,0.064451158,59,0,4,3,56
Craig Stammen,33,San Diego,SI,1285,88.68023529,0.057587549,60,0,2,3,80.1
Ryne Stanek,25,Tampa Bay,FF,423,95.23033175,0.06855792,21,0,,,20
Drew Steckenrider,26,Miami,FF,699,92.93395415,0.077253219,37,0,1,1,34.2
Jackson Stephens,23,Cincinnati,FF,414,88.70724638,0.050724638,7,4,2,1,25
Robert Stephenson,24,Cincinnati,FF,1464,89.26937799,0.058743169,25,11,5,6,84.2
Brock Stewart,25,Los Angeles,FF,585,89.79145299,0.04957265,17,4,,,34.1
Drew Storen,29,Cincinnati,SL,909,85.13421342,0.052805281,58,0,4,2,54.2
Matt Strahm,25,Kansas City,FF,647,90.04752322,0.057187017,24,3,2,5,34.2
Dan Straily,28,Miami,FF,3085,86.75245209,0.055105348,33,33,10,9,181.2
Stephen Strasburg,28,Washington,FF,2929,90.97958683,0.07715944,28,28,15,4,175.1
Chris Stratton,26,San Francisco,FF,1042,87.48086538,0.048944338,13,10,4,4,58.2
Hunter Strickland,28,San Francisco,FF,984,92.00315682,0.058943089,68,0,4,3,61.1
Ross Stripling,27,Los Angeles,FF,1225,88.45853859,0.062040816,49,2,3,5,74.1
Marcus Stroman,26,Toronto,FT,3140,90.47076825,0.052229299,33,33,13,9,201
Pedro Strop,32,Chicago,FT,1095,91.74679487,0.060273973,69,0,5,4,60.1
Daniel Stumpf,26,Detroit,FF,656,90.17543036,0.050304878,55,0,,1,37.2
Albert Suarez,27,San Francisco,FF,550,86.42786885,0.061818182,18,0,,3,31.2
Brent Suter,27,Milwaukee,FF,1283,83.0549142,0.049883087,22,14,3,2,81.2
Anthony Swarzak,31,"Chicago,Milwaukee",SL,1259,90.82140016,0.072279587,70,0,6,4,77.1
Noah Syndergaard,24,New York,SI,459,94.1124183,0.074074074,7,7,1,2,30.1
Jameson Taillon,25,Pittsburgh,FT,2322,90.87010354,0.053832903,25,25,8,7,133.2
Masahiro Tanaka,28,New York,SL,3094,87.50326649,0.068519716,30,30,13,12,178.1
Ben Taylor,24,Boston,FF,366,89.51994536,0.049180328,14,0,,1,17.1
Junichi Tazawa,31,Miami,FF,962,88.47941788,0.03950104,55,0,3,5,56
Julio Teheran,26,Atlanta,FF,3074,87.34614883,0.049121666,32,32,11,13,188.1
Ryan Tepera,29,Toronto,FC,1275,92.2828751,0.063529412,73,0,7,1,77.2
Nick Tepesch,28,"Toronto,Minnesota",FF,300,85.94033333,0.03,4,4,1,2,15.2
Jesen Therrien,24,Philadelphia,SL,313,88.72523962,0.031948882,15,0,,,18.1
Jake Thompson,23,Philadelphia,FF,803,88.3615193,0.04358655,11,8,3,2,46.1
Chris Tillman,29,Baltimore,FF,1795,86.93158774,0.035097493,24,19,1,7,93
Josh Tomlin,32,Cleveland,FC,2121,83.50283956,0.053276756,26,26,10,9,141
Michael Tonkin,27,Minnesota,SI,397,90.65642317,0.060453401,16,0,,1,21
Carlos Torres,34,Milwaukee,FF,1248,91.20999194,0.044871795,67,0,4,4,72.2
Jose Torres,23,San Diego,FF,1071,92.15984848,0.058823529,62,0,7,4,68.1
Blake Treinen,29,"Washington,Oakland",SI,1194,94.54648241,0.061976549,72,0,3,6,75.2
Andrew Triggs,28,Oakland,SI,1084,83.63047091,0.046125461,12,12,5,6,65.1
Sam Tuivailala,24,St. Louis,FF,642,90.84632107,0.052959502,37,0,3,3,42.1
Nik Turley,27,Minnesota,FF,323,88.16904025,0.040247678,10,3,,2,17.2
Jacob Turner,26,Washington,FT,631,91.40174326,0.036450079,18,2,2,3,39
Koji Uehara,42,Chicago,FF,676,84.30534918,0.073964497,49,0,3,4,43
Jose Urena,25,Miami,FF,2882,91.60055633,0.039208883,34,28,14,7,169.2
Julio Urias,20,Los Angeles,FF,412,87.7461165,0.026699029,5,5,,2,23.1
Cesar Valdez,32,"Toronto,Oakland",CH,500,84.7066,0.042,11,4,1,1,30.2
Jose Valdez,27,"San Diego,Los Angeles",SL,294,91.57269625,0.057823129,14,0,,,18
Jason Vargas,34,Kansas City,FT,2925,80.91263699,0.045811966,32,32,18,11,179.2
Felipe Vazquez,25,Pittsburgh,FF,1167,93.62111693,0.075407027,73,0,5,3,75.1
Vince Velasquez,25,Philadelphia,FF,1269,90.61406003,0.0535855,15,15,2,7,72
Hector Velazquez,28,Boston,SI,382,87.18324607,0.04973822,8,3,3,1,24.2
Drew VerHagen,26,Detroit,FT,532,89.09492481,0.046992481,24,2,,3,34.1
Justin Verlander,34,"Detroit,Houston",FF,4065,91.20934809,0.063222632,33,33,15,8,206
Logan Verrett,27,Baltimore,SL,157,87.69299363,0.057324841,4,0,2,,10.2
Nick Vincent,30,Seattle,FC,945,88.28719577,0.052910053,69,0,3,3,64.2
Arodys Vizcaino,26,Atlanta,FT,861,93.20153664,0.074332172,62,0,5,3,57.1
Edinson Volquez,33,Miami,SI,1516,88.65735974,0.053430079,17,17,4,8,92.1
Chris Volstad,30,Chicago,SI,269,88.90929368,0.037174721,6,2,1,2,19.1
Michael Wacha,25,St. Louis,FF,2690,90.87274422,0.058736059,30,30,12,9,165.2
Adam Wainwright,35,St. Louis,SI,2155,83.55662763,0.044547564,24,23,12,5,123.1
Taijuan Walker,24,Arizona,FF,2791,89.54899642,0.053385883,28,28,9,9,157.1
Adam Warren,29,New York,SL,1013,88.16314229,0.055281343,46,0,3,2,57.1
Tony Watson,32,"Pittsburgh,Los Angeles",SI,1094,90.83194829,0.0511883,71,0,7,4,66.2
Jered Weaver,34,San Diego,FF,671,79.69533835,0.034277198,9,9,,5,42.1
Luke Weaver,23,St. Louis,FF,1046,89.18227969,0.068833652,13,10,7,2,60.1
Zack Wheeler,27,New York,FF,1561,90.82935897,0.051889814,17,17,3,7,87
Chase Whitley,28,Tampa Bay,FF,829,85.61183575,0.051869723,41,0,2,1,57.1
Tom Wilhelmsen,33,Arizona,FF,453,89.92831858,0.037527594,27,0,1,1,26.1
Adam Wilk,29,"Minnesota,New York",FF,302,85.26986755,0.026490066,4,2,,2,14
Aaron Wilkerson,28,Milwaukee,FF,138,85.22408759,0.050724638,3,2,1,,10.1
Trevor Williams,25,Pittsburgh,FF,2423,89.66087676,0.048287247,31,25,7,9,150.1
Alex Wilson,30,Detroit,SL,951,90.46857143,0.044164038,66,0,2,5,60
Justin Wilson,29,"Chicago,Detroit",FF,1139,93.82844601,0.07023705,65,0,4,4,58
Tyler Wilson,27,Baltimore,FF,265,88.21969697,0.033962264,9,1,2,2,15.1
Dan Winkler,27,Atlanta,FF,234,90.31111111,0.076923077,16,0,1,1,14.1
Matt Wisler,24,Atlanta,FT,557,87.43633094,0.039497307,20,1,,1,32.1
Nick Wittgren,26,Miami,FF,753,90.19495352,0.057104914,38,0,3,1,42.1
Asher Wojciechowski,28,Cincinnati,FF,1106,88.57599638,0.057866184,25,8,4,3,62.1
Alex Wood,26,Los Angeles,FT,2439,88.0723614,0.067240672,27,25,16,3,152.1
Blake Wood,31,"Cincinnati,Los Angeles",SL,1283,92.77390625,0.065471551,72,0,3,4,74.1
Travis Wood,30,"Kansas City,San Diego",FF,1711,85.94238876,0.03798948,39,14,4,7,94.1
Brandon Woodruff,24,Milwaukee,FF,716,90.80684358,0.044692737,8,8,2,3,43
Brandon Workman,28,Boston,FF,609,88.52019704,0.060755337,33,0,1,1,39.2
Vance Worley,29,Miami,FT,1238,88.19175424,0.040387722,24,12,2,6,71.2
Daniel Wright,26,Los Angeles,SI,314,84.88853503,0.035031847,5,2,,1,19.2
Mike Wright Jr.,27,Baltimore,SI,417,90.64868106,0.067146283,13,0,,,25
Steven Wright,32,Boston,KN,383,73.75718016,0.033942559,5,5,1,3,24
Jimmy Yacabonis,25,Baltimore,FT,337,92.40652819,0.023738872,14,0,2,,20.2
Kirby Yates,30,"San Diego,Los Angeles",FF,965,90.92806653,0.09119171,62,0,4,5,56.2
Gabriel Ynoa,24,Baltimore,SI,540,89.92740741,0.048148148,9,4,2,3,34.2
Michael Ynoa,25,Chicago,FT,594,88.8526936,0.038720539,22,0,1,,29
Chris Young,38,Kansas City,SL,536,84.08973881,0.041044776,14,2,,,30
Rob Zastryzny,25,Chicago,FF,247,86.52793522,0.044534413,4,0,,,13
Brad Ziegler,37,Miami,SI,697,79.45689655,0.037302726,53,0,1,4,47
Jordan Zimmermann,31,Detroit,FF,2644,88.82149886,0.038956127,29,29,8,13,160
Tony Zych,26,Seattle,SL,639,88.98824451,0.054773083,45,0,6,3,40.2
