Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP
Parker Bridwell,25,Los Angeles,FF,1759,88.35494881,0.041500853,21,20,10,3,121
Zach Britton,29,Baltimore,SI,587,95.35307167,0.049403748,38,0,2,1,37.1
Rex Brothers,29,Atlanta,FF,379,93.05989446,0.08707124,27,0,4,3,23.2
Jonathan Broxton,33,St. Louis,FF,296,91.95631399,0.054054054,20,0,,1,15.2
Jake Buchanan,27,Cincinnati,FF,226,85.49026549,0.017699115,5,0,,,14.1
Ryan Buchter,30,"San Diego,Kansas City",FF,1098,91.0356102,0.059198543,71,0,4,3,65.1
Madison Bumgarner,27,San Francisco,FC,1666,87.0278649,0.06062425,17,17,4,9,111
Aaron Bummer,23,Chicago,SI,374,89.43903743,0.045454545,30,0,1,3,22
Dylan Bundy,24,Baltimore,FF,2819,87.09470881,0.05391983,28,28,13,9,169.2
Alan Busenitz,26,Minnesota,FF,509,92.00589391,0.04518664,28,0,1,1,31.2
Matt Bush,31,Texas,FF,944,93.79777542,0.061440678,57,0,3,4,52.1
Eddie Butler,26,Chicago,FF,918,90.71214442,0.032679739,13,11,4,3,54.2
Trevor Cahill,29,"San Diego,Kansas City",SI,1523,86.30013149,0.057124097,21,14,4,3,84
Matt Cain,32,San Francisco,FF,2083,84.48705939,0.036005761,27,23,3,11,124.1
Leonel Campos,29,Toronto,FF,226,88.96769912,0.066371681,13,0,,,13.2
Carter Capps,26,San Diego,FF,192,87.75235602,0.036458333,11,0,,,12.1
Carlos Carrasco,30,Cleveland,FF,3143,89.80284709,0.074132994,32,32,18,6,200
Andrew Cashner,30,Texas,FT,2636,90.56856708,0.03262519,28,28,11,11,166.2
Santiago Casilla,36,Oakland,FT,1025,90.24037328,0.055609756,63,0,4,5,59
Luis Castillo,24,Cincinnati,FF,1484,93.14919137,0.066037736,15,15,3,7,89.1
Miguel Castro,22,Baltimore,SI,1033,91.43495146,0.03678606,39,1,3,3,66.1
Simon Castro,29,Oakland,FF,595,91.19495798,0.058823529,26,0,1,3,37
Brett Cecil,30,St. Louis,FF,990,87.63138462,0.066666667,73,0,2,4,67.1
Luis Cessa,25,New York,FF,624,89.47644231,0.048076923,10,5,,3,36
Jhoulys Chacin,29,San Diego,FT,2937,86.13611397,0.052093973,32,32,13,10,180.1
Andrew Chafin,27,Arizona,SI,895,89.14205817,0.068156425,71,0,1,,51.1
Aroldis Chapman,29,New York,FF,1008,97.20886454,0.084325397,52,0,4,3,50.1
Tyler Chatwood,27,Colorado,FF,2461,91.48517915,0.048760666,33,25,8,15,147.2
Jesse Chavez,33,Los Angeles,FF,2312,88.04549784,0.051470588,38,21,7,11,138
Wei-Yin Chen,31,Miami,FF,493,86.91744422,0.050709939,9,5,2,1,33
Tony Cingrani,27,"Cincinnati,Los Angeles",FF,791,92.74544304,0.069532238,47,0,,,42.2
Steve Cishek,31,"Seattle,Tampa Bay",SL,729,83.88971193,0.056241427,49,0,3,2,44.2
Alex Claudio,25,Texas,SI,1132,80.74033688,0.049469965,70,1,4,2,82.2
Mike Clevinger,26,Cleveland,FF,2154,87.5151487,0.064995357,27,21,12,6,121.2
Tyler Clippard,32,"Houston,New York,Chicago",FF,1113,84.21051213,0.064690027,67,0,2,8,60.1
Alex Cobb,29,Tampa Bay,FF,2849,87.00544433,0.044928045,29,29,12,10,179.1
A.J. Cole,25,Washington,FF,937,88.63297759,0.046958378,11,8,3,5,52
Gerrit Cole,26,Pittsburgh,FF,3298,91.85753049,0.059429958,33,33,12,12,203
Josh Collmenter,31,Atlanta,FC,327,80.22777778,0.055045872,11,0,,2,17
Alex Colome,28,Tampa Bay,FC,996,91.40341709,0.058232932,65,0,2,3,66.2
Bartolo Colon,44,"Minnesota,Atlanta",FT,2286,86.72683034,0.038932633,28,28,7,14,143
Adam Conley,27,Miami,FF,1723,87.44773256,0.04178758,22,20,8,8,102.2
Patrick Corbin,27,Arizona,SL,3084,87.18999025,0.05771725,33,32,14,13,189.2
Jarred Cosart,27,San Diego,SI,485,88.32,0.030927835,7,6,,2,24
Jharel Cotton,25,Oakland,FF,2173,87.35630485,0.048320295,24,24,9,10,129
Danny Coulombe,27,Oakland,CU,905,85.6918232,0.043093923,72,0,2,2,51.2
Dylan Covey,25,Chicago,FF,1159,88.9336497,0.035375324,18,12,,7,70
Stefan Crichton,25,Baltimore,SI,246,90.46260163,0.032520325,8,0,,,12.1
Kyle Crick,24,San Francisco,FF,606,92.49818182,0.04620462,30,0,,,32.1
Johnny Cueto,31,San Francisco,FF,2533,87.43234127,0.053691275,25,25,8,8,147.1
Yu Darvish,30,"Los Angeles,Texas",FF,3305,89.04425182,0.067473525,31,31,10,12,186.2
Zach Davies,24,Milwaukee,FT,3089,85.35102107,0.040142441,33,33,17,9,191.1
Rookie Davis,24,Cincinnati,FF,522,89.56583493,0.038314176,7,6,1,3,24
Wade Davis,31,Chicago,FF,1187,90.84380306,0.073294019,59,0,4,2,58.2
