,PEAK,OPS,G,salary_inf,weight,height,age,bats_B,bats_L,bats_R,throws_L,throws_R
75,0,0.7329280014305832,141,5082053.996,170.0,71.0,32,0,0,1,0,1
76,1,0.7026140313541889,966,19341929.755,210.0,74.0,33,0,0,1,0,1
77,1,0.7586530208941875,2081,1544626.0560908879,190.0,73.0,38,0,0,1,0,1
78,1,0.749364568706564,386,388785.04678000003,180.0,70.0,25,0,1,0,1,0
79,1,0.5984272688329968,739,4233206.58915,190.0,72.0,28,0,0,1,0,1
80,1,0.7944148731003626,2028,1838028.1687199997,180.0,73.0,36,0,0,1,0,1
81,1,0.6708128197843843,979,5775729.6456,170.0,70.0,33,0,0,1,0,1
82,1,0.7732955216826185,1085,6968641.115,200.0,74.0,32,0,0,1,0,1
83,1,0.8165045528015692,1468,17935428.571473412,190.0,73.0,34,0,0,1,0,1
84,1,0.6065339002013873,1488,6062283.7371000005,190.0,73.0,34,0,0,1,0,1
85,1,0.6285957400087835,399,952380.952,195.0,73.0,32,1,0,0,0,1
86,1,0.49356337864528876,532,855310.05,160.0,66.0,31,0,0,1,0,1
87,1,0.7587378933872233,1041,868306.8015000001,210.0,69.0,32,0,0,1,0,1
88,1,0.7488341074859627,1765,10909090.912650002,180.0,73.0,36,0,0,1,0,1
89,1,0.8792533233276157,2643,18000000.0,220.0,71.0,37,0,0,1,0,1
90,1,0.7588689681480069,683,3658949.7471000007,180.0,70.0,30,0,1,0,1,0
91,1,0.7689504373177842,968,985401.4599,150.0,71.0,36,0,0,1,0,1
92,1,0.38488372093023254,342,1234018.89955,195.0,75.0,37,0,0,1,0,1
93,1,0.7031151722692013,627,1133603.2386,185.0,73.0,31,1,0,0,0,1
94,1,0.7043041606886657,218,600333.5187,185.0,71.0,32,0,0,1,0,1
95,1,0.559843137254902,250,328627.8939525001,185.0,74.0,24,0,1,0,0,1
96,1,0.7059463684463685,477,846774.1935625,185.0,73.0,36,0,1,0,1,0
97,1,0.9593969056329767,1618,8537127.615999999,220.0,73.0,35,1,0,0,1,0
98,0,0.7773793668681488,263,515853.6584145,210.0,74.0,28,0,1,0,1,0
99,0,0.817996141420885,682,1270072.99276,150.0,69.0,30,1,0,0,0,1
100,1,0.592442645074224,583,2380952.38,195.0,72.0,28,0,0,1,0,1
101,0,0.8761246078800844,294,1759082.21765,165.0,72.0,31,0,0,1,0,1
102,0,0.6729482780005789,216,1660899.654,205.0,72.0,30,1,0,0,0,1
103,1,0.5822970911938883,668,1512605.0415,200.0,71.0,33,0,0,1,0,1
104,1,0.5951075231836117,905,927038.6261999999,205.0,70.0,31,0,0,1,0,1
105,1,0.7440959006676233,217,1306620.20875,220.0,74.0,31,1,0,0,0,1
106,1,0.7856592610852617,1605,9486166.011000002,215.0,75.0,38,0,0,1,0,1
107,0,0.7676873335869152,139,431974.58966,190.0,76.0,27,0,1,0,0,1
108,1,0.6657160202741814,2800,5962373.3703,185.0,71.0,42,0,0,1,0,1
109,1,0.7271022994548826,1001,6877579.09375,205.0,74.0,37,0,0,1,0,1
110,1,0.7356421356421357,738,6937062.9378,192.0,73.0,29,0,1,0,0,1
111,0,0.8626110390258509,106,860759.4938,195.0,70.0,31,1,0,0,0,1
112,1,0.6200268489138394,793,3900000.0,175.0,71.0,33,0,1,0,1,0
113,1,0.6284878863826233,218,952885.12425,220.0,71.0,33,0,0,1,0,1
114,0,0.7336682759613246,123,350677.1205,190.0,72.0,29,0,0,1,0,1
115,1,0.7674576271186441,1159,6050420.166,170.0,72.0,34,0,0,1,0,1
116,0,0.6630283648498332,227,1566433.5666,200.0,71.0,32,0,0,1,0,1
117,1,0.6887363245302979,390,699386.50305,190.0,74.0,33,0,0,1,0,1
118,1,0.6812713984522427,1102,1398601.3987500002,220.0,75.0,36,1,0,0,0,1
119,1,0.6939032055311125,1357,1253649.635095,195.0,75.0,36,0,1,0,1,0
120,1,0.6586227316949367,380,525261.3239175,225.0,76.0,27,0,1,0,1,0
121,1,0.6109864618192882,216,975609.7561000001,198.0,74.0,34,0,0,1,0,1
122,1,0.7478260869565218,2253,1693251.5337,190.0,74.0,40,0,1,0,0,1
123,0,0.5956212522660717,146,504878.04866100004,215.0,75.0,28,0,1,0,1,0
124,1,1.0447897397952892,2972,17984335.74039594,185.0,73.0,43,0,1,0,1,0
125,0,0.7532378142997612,279,453534.90459999995,210.0,70.0,26,1,0,0,0,1
126,1,0.753604647662623,1581,278745.6446,210.0,75.0,37,1,0,0,0,1
127,0,0.6066720837847599,254,262773.72264,170.0,69.0,30,0,0,1,0,1
128,1,0.6828332880803694,861,1114723.6409999998,190.0,74.0,35,0,0,1,0,1
129,1,0.6748667684314829,2035,1709034.193576871,195.0,74.0,42,0,0,1,0,1
130,1,0.7403446715748776,1583,10164107.992,180.0,70.0,35,0,0,1,0,1
131,0,0.6488783005757395,137,660247.593,195.0,72.0,24,0,1,0,1,0
132,0,0.7218390804597701,108,394047.61889000004,230.0,76.0,28,1,0,0,0,1
133,1,0.65550202920781,506,4152249.1350000002,190.0,74.0,30,0,0,1,0,1
134,1,0.7222935913905706,1391,1304347.826,170.0,71.0,38,0,0,1,0,1
135,0,0.9022002200220022,108,479553.903265,175.0,75.0,29,0,1,0,1,0
136,0,0.788917525773196,815,913494.8097,185.0,75.0,30,0,1,0,1,0
137,1,0.6805095826951096,607,2000000.0,175.0,73.0,29,0,0,1,0,1
138,1,0.6744099471372198,1037,13688212.923,190.0,71.0,32,0,1,0,0,1
139,1,0.774865885479976,492,7832167.833000001,215.0,72.0,31,1,0,0,0,1
140,1,0.7807310138640561,882,2225806.45165,185.0,72.0,30,0,0,1,0,1
141,1,0.5384576391470379,409,844682.4791400001,185.0,71.0,30,0,1,0,0,1
