Years_Played,H,BB,HR,AVE,OBP,Slug_Percent,OPS,RBI,R,SB,2B,3B,AB,SO,DPf,Af,Ef,YSLS,G_all,debut_age,weight,height
13,1268,288,49,0.2493608652900688,0.2856359649122807,0.3368731563421829,0.6225091212544636,541.0,469,19.0,210,44,5085,456.0,803.0,3623.0,170.0,62.0,1421,25.0,175.0,72.0
9,25,5,0,0.11961722488038275,0.1271186440677966,0.1339712918660287,0.2610899359338253,12.0,11,0.0,1,1,209,51.0,5.0,127.0,5.0,40.0,238,20.0,196.0,73.0
8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,3,2.0,1.0,39.0,2.0,11.0,353,24.0,172.0,69.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,1.0,1.0,46.0,14,25.0,191.0,72.0
3,103,14,9,0.2536945812807882,0.28169014084507044,0.3940886699507389,0.6757788107958094,42.0,45,12.0,18,6,406,130.0,0.0,5.0,5.0,27.0,170,26.0,180.0,75.0
5,16,3,1,0.26666666666666666,0.2835820895522388,0.38333333333333336,0.6669154228855722,8.0,3,0.0,4,0,60,5.0,1.0,1.0,2.0,30.0,37,24.0,185.0,72.0
4,57,6,1,0.3257142857142857,0.34806629834254144,0.4057142857142857,0.7537805840568271,18.0,30,3.0,7,2,175,19.0,20.0,126.0,21.0,91.0,78,23.0,180.0,71.0
7,750,427,32,0.2697841726618705,0.3689644700880656,0.3615107913669065,0.7304752614549721,239.0,469,183.0,129,15,2780,462.0,450.0,2056.0,55.0,16.0,767,24.0,166.0,69.0
2,1,1,1,0.125,0.2222222222222222,0.5,0.7222222222222222,1.0,1,0.0,0,0,8,3.0,0.0,16.0,3.0,89.0,12,32.0,185.0,71.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,0.0,0.0,1.0,0.0,78.0,1,33.0,175.0,74.0
3,7,2,0,0.11475409836065575,0.13432835820895522,0.13114754098360654,0.26547589919256176,1.0,3,0.0,1,0,61,30.0,0.0,28.0,3.0,41.0,44,24.0,175.0,75.0
3,40,18,5,0.26666666666666666,0.3546511627906977,0.44666666666666666,0.8013178294573644,12.0,16,1.0,8,2,150,11.0,1.0,7.0,7.0,64.0,45,28.0,196.0,72.0
5,1,0,0,0.1,0.1,0.1,0.2,0.0,0,0.0,0,0,10,4.0,0.0,7.0,0.0,75.0,28,21.0,180.0,73.0
1,2,0,0,0.25,0.25,0.375,0.625,0.0,1,0.0,1,0,8,3.0,1.0,6.0,0.0,85.0,6,22.0,190.0,73.0
8,194,65,18,0.20442571127502634,0.2516810758885687,0.3045310853530032,0.5562121612415718,91.0,79,4.0,39,1,949,170.0,15.0,202.0,24.0,25.0,382,24.0,185.0,72.0
2,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0,0.0,0,0,3,2.0,1.0,5.0,0.0,48.0,15,25.0,210.0,74.0
7,57,9,0,0.15966386554621848,0.17223650385604114,0.17647058823529413,0.3487070920913353,24.0,26,2.0,6,0,357,99.0,25.0,224.0,13.0,65.0,244,30.0,176.0,72.0
2,37,14,2,0.17874396135265697,0.2236842105263158,0.24154589371980675,0.4652301042461226,25.0,20,1.0,5,1,207,33.0,22.0,135.0,15.0,79.0,94,25.0,180.0,72.0
6,96,26,2,0.24489795918367346,0.2817551963048499,0.3112244897959184,0.5929796861007683,47.0,43,3.0,20,0,392,58.0,8.0,213.0,17.0,90.0,266,27.0,175.0,72.0
4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,4,2.0,4.0,22.0,0.0,14.0,87,29.0,210.0,76.0
4,7,2,0,0.07865168539325842,0.09278350515463918,0.07865168539325842,0.1714351905478976,1.0,3,0.0,0,0,89,41.0,5.0,48.0,2.0,39.0,83,23.0,200.0,72.0
1,2,0,0,0.25,0.25,0.375,0.625,0.0,1,0.0,1,0,8,0.0,0.0,1.0,0.0,20.0,5,27.0,205.0,71.0
2,7,2,0,0.16666666666666666,0.1875,0.19047619047619047,0.3779761904761905,2.0,2,0.0,1,0,42,10.0,0.0,10.0,2.0,46.0,30,23.0,180.0,74.0
5,39,11,1,0.2307692307692308,0.26881720430107525,0.2840236686390533,0.5528408729401285,14.0,16,2.0,6,0,169,22.0,4.0,141.0,2.0,71.0,113,21.0,175.0,72.0
3,5,0,0,0.15151515151515152,0.17647058823529413,0.15151515151515152,0.32798573975044565,2.0,2,0.0,0,0,33,3.0,3.0,41.0,1.0,80.0,56,28.0,180.0,71.0
3,304,120,3,0.2676056338028169,0.3261703760552571,0.3292253521126761,0.6553957281679332,78.0,173,10.0,35,13,1136,77.0,139.0,876.0,57.0,68.0,301,28.0,145.0,65.0
1,0,1,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,70.0,3,30.0,175.0,71.0
14,2,0,0,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.18181818181818185,0.0,0,0.0,0,0,22,10.0,2.0,56.0,7.0,11.0,631,23.0,185.0,73.0
3,4,2,0,0.4444444444444444,0.42857142857142855,0.4444444444444444,0.873015873015873,0.0,4,0.0,0,0,9,1.0,1.0,11.0,2.0,61.0,27,26.0,175.0,70.0
3,64,9,8,0.2490272373540856,0.2740740740740741,0.41245136186770426,0.6865254359417783,32.0,30,0.0,12,3,257,81.0,1.0,4.0,4.0,17.0,114,23.0,188.0,71.0
4,5,0,0,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.21739130434782608,0.0,2,0.0,0,0,46,24.0,3.0,54.0,3.0,58.0,91,24.0,185.0,75.0
19,127,23,4,0.1809116809116809,0.20079260237780716,0.2378917378917379,0.43868434026954506,53.0,51,1.0,18,5,702,214.0,13.0,291.0,13.0,77.0,542,22.0,180.0,71.0
1,1,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0,0.0,0,0,6,3.0,0.0,1.0,0.0,80.0,3,28.0,192.0,70.0
11,789,387,86,0.25353470437017994,0.3335204941044357,0.403598971722365,0.7371194658268008,379.0,415,23.0,185,12,3112,531.0,401.0,2158.0,86.0,24.0,1073,25.0,175.0,72.0
4,19,12,0,0.1743119266055046,0.2540983606557377,0.22935779816513766,0.4834561588208754,9.0,9,0.0,4,1,109,22.0,2.0,4.0,0.0,22.0,64,24.0,190.0,74.0
10,196,83,16,0.2572178477690289,0.3298611111111111,0.3818897637795276,0.7117508748906387,72.0,124,33.0,33,7,762,166.0,2.0,19.0,5.0,14.0,476,30.0,180.0,68.0
3,34,14,2,0.21794871794871795,0.2727272727272727,0.3205128205128205,0.5932400932400932,14.0,10,2.0,8,1,156,35.0,10.0,90.0,9.0,23.0,82,24.0,185.0,72.0
1,20,5,0,0.2564102564102564,0.3012048192771085,0.28205128205128205,0.5832561013283906,7.0,2,0.0,2,0,78,13.0,2.0,38.0,2.0,52.0,34,31.0,175.0,70.0
1,3,1,0,0.3,0.3636363636363637,0.3,0.6636363636363636,0.0,1,0.0,0,0,10,3.0,0.0,6.0,1.0,83.0,13,24.0,185.0,76.0
2,12,3,0,0.17391304347826084,0.20270270270270271,0.18840579710144928,0.391108499804152,4.0,2,0.0,1,0,69,8.0,1.0,14.0,0.0,93.0,31,28.0,189.0,73.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,7,2.0,0.0,6.0,0.0,64.0,5,24.0,152.0,70.0
8,449,92,26,0.2687013764213046,0.3019178082191781,0.3818073010173549,0.6837251092365328,185.0,187,23.0,91,10,1671,159.0,11.0,38.0,17.0,10.0,603,25.0,180.0,69.0
8,174,44,19,0.2416666666666667,0.2853437094682231,0.3888888888888889,0.6742325983571121,115.0,67,1.0,35,7,720,96.0,17.0,81.0,20.0,63.0,299,27.0,200.0,75.0
1,3,0,0,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.4615384615384616,1.0,3,0.0,0,0,13,3.0,0.0,0.0,0.0,96.0,4,23.0,160.0,69.0
1,2,0,0,0.25,0.2,0.375,0.575,2.0,0,0.0,1,0,8,3.0,0.0,9.0,1.0,70.0,13,28.0,185.0,75.0
2,25,11,1,0.2314814814814815,0.30327868852459017,0.3240740740740741,0.6273527625986642,12.0,8,1.0,7,0,108,26.0,7.0,55.0,2.0,17.0,51,25.0,165.0,72.0
7,156,63,1,0.25161290322580643,0.3175287356321839,0.31129032258064515,0.628819058212829,50.0,79,6.0,22,6,620,77.0,117.0,515.0,47.0,60.0,329,24.0,165.0,72.0
3,9,6,1,0.2432432432432433,0.3488372093023256,0.32432432432432434,0.6731615336266499,5.0,5,1.0,0,0,37,13.0,0.0,10.0,0.0,18.0,29,23.0,210.0,72.0
1,1,0,0,0.2,0.2,0.2,0.4,0.0,0,0.0,0,0,5,0.0,0.0,0.0,0.0,93.0,6,25.0,168.0,71.0
2,6,1,0,0.21428571428571427,0.2258064516129032,0.21428571428571427,0.4400921658986175,2.0,3,0.0,0,0,28,7.0,0.0,34.0,2.0,78.0,42,30.0,168.0,71.0
1,4,2,0,0.2857142857142857,0.375,0.2857142857142857,0.6607142857142857,2.0,2,0.0,0,0,14,4.0,1.0,13.0,0.0,53.0,29,26.0,195.0,75.0
2,13,7,1,0.2452830188679245,0.3492063492063492,0.33962264150943394,0.6888289907157832,5.0,5,0.0,2,0,53,13.0,0.0,0.0,0.0,31.0,38,26.0,170.0,72.0
10,3,1,0,0.1153846153846154,0.13333333333333333,0.1153846153846154,0.2487179487179487,2.0,2,0.0,0,0,26,9.0,4.0,62.0,9.0,27.0,484,22.0,225.0,77.0
3,2,1,0,0.15384615384615385,0.21428571428571427,0.15384615384615385,0.36813186813186816,0.0,1,0.0,0,0,13,3.0,0.0,18.0,0.0,55.0,43,24.0,190.0,73.0
4,1,1,0,0.05882352941176471,0.1111111111111111,0.05882352941176471,0.16993464052287582,0.0,0,0.0,0,0,17,8.0,3.0,49.0,4.0,36.0,64,26.0,180.0,74.0
2,2,0,0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0,0.0,0,0,13,0.0,0.0,12.0,0.0,96.0,16,23.0,188.0,75.0
1,3,2,0,0.16666666666666666,0.2380952380952381,0.16666666666666666,0.4047619047619048,0.0,1,0.0,0,0,18,4.0,1.0,11.0,0.0,67.0,19,22.0,200.0,72.0
3,7,2,1,0.12727272727272726,0.14516129032258066,0.21818181818181814,0.3633431085043988,2.0,1,1.0,0,1,55,18.0,5.0,33.0,2.0,54.0,62,27.0,176.0,72.0
2,135,57,11,0.2611218568665377,0.3270868824531516,0.40425531914893614,0.7313422016020877,67.0,65,8.0,23,9,517,67.0,116.0,103.0,15.0,62.0,157,25.0,200.0,74.0
2,1,1,0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.4523809523809523,0.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,96.0,5,23.0,165.0,71.0
1,6,6,0,0.18181818181818185,0.3076923076923077,0.24242424242424246,0.5501165501165501,4.0,2,0.0,2,0,33,8.0,9.0,38.0,0.0,31.0,16,28.0,186.0,75.0
1,12,0,0,0.3076923076923077,0.3076923076923077,0.35897435897435903,0.6666666666666667,3.0,6,0.0,2,0,39,7.0,0.0,2.0,0.0,21.0,21,25.0,200.0,75.0
2,2,0,0,0.25,0.25,0.25,0.5,0.0,0,0.0,0,0,8,2.0,1.0,2.0,1.0,58.0,11,25.0,210.0,76.0
2,107,25,4,0.3128654970760234,0.3604336043360434,0.4269005847953216,0.787334189131365,38.0,48,6.0,25,1,342,14.0,42.0,58.0,10.0,73.0,125,22.0,168.0,71.0
5,11,3,0,0.25,0.2857142857142857,0.3181818181818182,0.6038961038961039,1.0,4,0.0,3,0,44,14.0,4.0,34.0,4.0,52.0,84,25.0,200.0,74.0
1,2,2,0,0.13333333333333333,0.2352941176470588,0.13333333333333333,0.3686274509803922,1.0,2,1.0,0,0,15,1.0,1.0,0.0,0.0,86.0,4,25.0,180.0,73.0
1,0,1,0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0,0.0,0,0,6,4.0,0.0,2.0,0.0,79.0,2,24.0,182.0,72.0
11,230,74,0,0.2127659574468085,0.2587354409317804,0.2534690101757632,0.5122044511075435,65.0,108,9.0,32,6,1081,133.0,190.0,1148.0,48.0,35.0,622,25.0,176.0,69.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,3,2.0,0.0,2.0,0.0,46.0,22,22.0,245.0,79.0
2,3,0,1,0.5,0.5,1.1666666666666667,1.6666666666666667,1.0,2,0.0,1,0,6,2.0,0.0,8.0,1.0,46.0,35,26.0,190.0,72.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,96.0,1,24.0,155.0,69.0
2,1,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,1,0.0,0,0,7,3.0,0.0,2.0,0.0,75.0,10,26.0,180.0,71.0
17,1073,523,7,0.2865153538050734,0.3683122847301952,0.3514018691588785,0.7197141538890737,308.0,449,39.0,130,46,3745,250.0,43.0,108.0,33.0,28.0,1809,21.0,160.0,70.0
