Years_Played,H,BB,HR,AVE,OBP,Slug_Percent,OPS,RBI,R,SB,2B,3B,AB,SO,DPf,Af,Ef,YSLS,G_all,debut_age,weight,height
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,2.0,0.0,3.0,0.0,39.0,20,24.0,185.0,75.0
9,837,323,148,0.2395535203205495,0.30267903142709945,0.42157985117344016,0.7242588826005396,509.0,443,52.0,134,29,3494,648.0,19.0,83.0,48.0,51.0,1149,24.0,206.0,73.0
1,1,0,0,1.0,1.0,1.0,2.0,0.0,1,0.0,0,0,1,0.0,1.0,2.0,0.0,90.0,2,33.0,162.0,73.0
4,34,12,8,0.20987654320987653,0.2727272727272727,0.3950617283950617,0.6677890011223344,21.0,21,1.0,4,1,162,41.0,49.0,44.0,2.0,56.0,104,24.0,219.0,77.0
5,1,0,0,0.14285714285714285,0.125,0.14285714285714285,0.26785714285714285,0.0,0,0.0,0,0,7,1.0,2.0,17.0,1.0,36.0,64,23.0,195.0,74.0
1,1,0,0,0.5,0.3333333333333333,0.5,0.8333333333333333,0.0,1,0.0,0,0,2,0.0,1.0,2.0,0.0,21.0,4,27.0,155.0,70.0
3,50,36,1,0.21645021645021645,0.31868131868131866,0.2640692640692641,0.5827505827505828,18.0,31,8.0,6,1,231,43.0,0.0,1.0,0.0,41.0,115,26.0,155.0,70.0
12,81,20,2,0.2154255319148936,0.2433734939759036,0.30053191489361697,0.5439054088695207,32.0,48,0.0,16,5,376,49.0,9.0,184.0,7.0,78.0,259,19.0,175.0,71.0
7,8,0,1,0.2,0.18604651162790695,0.3,0.486046511627907,1.0,2,0.0,1,0,40,14.0,5.0,46.0,3.0,42.0,159,19.0,185.0,73.0
6,355,141,16,0.2602639296187683,0.3320438426821405,0.35777126099706746,0.6898151036792081,156.0,142,12.0,71,7,1364,86.0,107.0,915.0,82.0,71.0,405,22.0,150.0,68.0
3,10,1,0,0.15873015873015872,0.15942028985507245,0.2222222222222222,0.38164251207729466,1.0,5,0.0,4,0,63,13.0,0.0,29.0,1.0,70.0,62,26.0,210.0,71.0
2,5,3,0,0.21739130434782608,0.3076923076923077,0.3478260869565217,0.6555183946488294,3.0,2,0.0,1,1,23,6.0,0.0,4.0,1.0,25.0,14,25.0,210.0,71.0
4,146,48,2,0.2925851703406814,0.351493848857645,0.3927855711422846,0.7442794199999296,59.0,74,3.0,22,11,499,25.0,1.0,7.0,9.0,88.0,181,22.0,150.0,66.0
2,29,13,0,0.2248062015503876,0.2925170068027211,0.31007751937984496,0.602594526182566,11.0,17,3.0,7,2,129,25.0,0.0,4.0,6.0,89.0,44,24.0,175.0,71.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,0.0,0.0,3.0,0.0,74.0,6,30.0,190.0,72.0
2,66,27,4,0.2214765100671141,0.28440366972477066,0.30201342281879195,0.5864170925435626,24.0,25,0.0,10,1,298,45.0,13.0,150.0,8.0,47.0,111,23.0,180.0,71.0
1,2,0,0,0.25,0.25,0.25,0.5,0.0,1,0.0,0,0,8,1.0,0.0,6.0,0.0,64.0,30,26.0,190.0,73.0
1,9,3,0,0.15789473684210525,0.2,0.17543859649122806,0.3754385964912281,3.0,5,1.0,1,0,57,8.0,3.0,49.0,4.0,97.0,26,27.0,176.0,73.0
1,2,2,0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0,0.0,0,0,6,4.0,1.0,4.0,1.0,55.0,9,22.0,195.0,75.0
6,0,1,0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,1,0.0,0,0,5,5.0,2.0,10.0,1.0,9.0,64,21.0,235.0,79.0
15,5,0,1,0.09615384615384616,0.08928571428571429,0.17307692307692307,0.2623626373626374,4.0,2,0.0,1,0,52,23.0,9.0,123.0,9.0,27.0,584,27.0,170.0,72.0
11,60,17,0,0.1348314606741573,0.15831663326653306,0.15730337078651685,0.3156200040530499,18.0,22,0.0,6,2,445,196.0,22.0,275.0,13.0,49.0,332,22.0,195.0,74.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,3,0.0,0.0,4.0,0.0,54.0,7,22.0,190.0,74.0
1,45,24,2,0.2528089887640449,0.32701421800947866,0.3876404494382023,0.7146546674476809,22.0,21,2.0,8,5,178,26.0,21.0,134.0,21.0,96.0,67,28.0,165.0,70.0
2,64,17,5,0.23443223443223446,0.28040540540540543,0.347985347985348,0.6283907533907533,32.0,20,1.0,14,1,273,41.0,6.0,46.0,8.0,24.0,84,26.0,225.0,76.0
1,64,18,2,0.2857142857142857,0.3333333333333333,0.3616071428571429,0.6949404761904762,25.0,25,3.0,5,3,224,10.0,58.0,40.0,8.0,83.0,58,30.0,172.0,71.0
12,3,0,0,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.35294117647058826,0.0,0,0.0,0,0,17,8.0,2.0,45.0,4.0,8.0,613,25.0,200.0,76.0
16,1515,265,25,0.2505374565900447,0.2761296211775445,0.30940962460724325,0.5855392457847878,501.0,576,81.0,241,20,6047,399.0,1092.0,5108.0,228.0,32.0,1696,20.0,179.0,72.0
4,3,1,0,0.3333333333333333,0.4,0.3333333333333333,0.7333333333333334,1.0,0,0.0,0,0,9,4.0,2.0,9.0,1.0,18.0,45,24.0,210.0,76.0
5,1,0,0,0.1,0.1,0.2,0.30000000000000004,0.0,0,0.0,1,0,10,2.0,1.0,11.0,0.0,17.0,106,31.0,185.0,73.0
4,5,1,0,0.10869565217391304,0.11320754716981132,0.13043478260869565,0.24364232977850694,2.0,2,0.0,1,0,46,13.0,6.0,49.0,4.0,47.0,92,23.0,155.0,72.0
8,1,0,0,0.045454545454545456,0.04,0.09090909090909093,0.13090909090909092,0.0,1,0.0,1,0,22,13.0,6.0,70.0,12.0,41.0,198,23.0,195.0,76.0
1,0,1,0,0.0,0.2,0.0,0.2,0.0,0,0.0,0,0,4,4.0,0.0,4.0,0.0,50.0,13,24.0,190.0,74.0
17,1358,578,57,0.26907073509015256,0.3407471763683753,0.3633841886269071,0.7041313649952824,503.0,781,246.0,225,40,5047,839.0,34.0,65.0,43.0,16.0,1763,20.0,185.0,72.0
3,17,2,2,0.2982456140350877,0.3220338983050847,0.4736842105263158,0.7957181088314005,7.0,8,2.0,4,0,57,12.0,1.0,1.0,1.0,84.0,43,29.0,175.0,68.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,1.0,0.0,82.0,2,29.0,170.0,71.0
8,15,0,3,0.11278195488721805,0.10344827586206896,0.21052631578947367,0.3139745916515426,11.0,10,0.0,4,0,133,59.0,4.0,97.0,8.0,17.0,198,23.0,205.0,76.0
5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,4,2.0,0.0,24.0,0.0,18.0,111,25.0,210.0,79.0
6,21,10,0,0.17355371900826447,0.22142857142857145,0.18181818181818185,0.4032467532467533,6.0,12,0.0,1,0,121,46.0,3.0,86.0,7.0,81.0,96,24.0,185.0,72.0
8,205,95,6,0.194681861348528,0.26473099914602904,0.24216524216524216,0.5068962413112712,64.0,81,7.0,26,3,1053,159.0,158.0,982.0,44.0,43.0,480,24.0,170.0,71.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,7,1.0,1.0,5.0,1.0,89.0,6,22.0,150.0,67.0
10,425,142,27,0.2435530085959885,0.3014477766287487,0.3358166189111748,0.6372643955399235,171.0,204,16.0,60,10,1745,252.0,142.0,1046.0,73.0,55.0,612,18.0,185.0,71.0
2,1,0,0,0.125,0.125,0.125,0.25,0.0,0,0.0,0,0,8,5.0,1.0,4.0,0.0,62.0,11,25.0,200.0,76.0
8,824,227,69,0.2685788787483703,0.3181954887218045,0.40384615384615385,0.7220416425679583,376.0,428,27.0,166,21,3068,460.0,5.0,30.0,35.0,11.0,890,23.0,190.0,73.0
10,916,311,80,0.26651149258073903,0.3266437813572749,0.4079138783823101,0.7345576597395851,544.0,406,15.0,168,39,3437,342.0,64.0,112.0,27.0,61.0,1046,25.0,183.0,73.0
8,14,9,0,0.09032258064516127,0.13690476190476192,0.1032258064516129,0.2401305683563748,3.0,6,0.0,2,0,155,84.0,3.0,100.0,13.0,58.0,289,27.0,190.0,73.0
5,1,1,0,0.14285714285714285,0.25,0.14285714285714285,0.3928571428571429,0.0,1,0.0,0,0,7,1.0,2.0,23.0,2.0,40.0,117,22.0,190.0,74.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,3,2.0,0.0,2.0,0.0,55.0,4,25.0,175.0,72.0
6,13,1,0,0.25,0.2295081967213115,0.25,0.4795081967213115,5.0,4,1.0,0,0,52,4.0,2.0,52.0,5.0,39.0,169,23.0,145.0,70.0
5,15,1,0,0.1388888888888889,0.13793103448275862,0.1574074074074074,0.295338441890166,5.0,5,0.0,0,1,108,29.0,1.0,72.0,7.0,35.0,101,26.0,190.0,75.0
5,199,56,10,0.2332942555685815,0.284640171858217,0.3341148886283705,0.6187550604865875,79.0,96,9.0,44,6,853,160.0,4.0,24.0,12.0,48.0,295,21.0,175.0,72.0
3,170,66,6,0.2915951972555746,0.3608562691131498,0.4065180102915952,0.767374279404745,85.0,88,3.0,29,10,583,34.0,2.0,8.0,9.0,78.0,203,24.0,180.0,71.0
2,37,20,1,0.22699386503067484,0.3191489361702128,0.294478527607362,0.6136274637775747,13.0,16,6.0,8,0,163,25.0,4.0,32.0,0.0,22.0,70,30.0,200.0,72.0
5,74,10,1,0.2334384858044164,0.25,0.3280757097791798,0.5780757097791798,28.0,46,1.0,11,8,317,40.0,15.0,177.0,18.0,88.0,209,24.0,165.0,71.0
4,92,28,6,0.2548476454293629,0.3053435114503817,0.3518005540166205,0.6571440654670022,47.0,31,1.0,11,3,361,65.0,7.0,5.0,3.0,39.0,167,24.0,200.0,75.0
2,1,0,0,0.16666666666666666,0.125,0.16666666666666666,0.29166666666666663,1.0,0,0.0,0,0,6,2.0,2.0,15.0,1.0,86.0,23,27.0,186.0,73.0
12,119,9,11,0.19162640901771336,0.19316493313521546,0.27697262479871176,0.4701375579339272,67.0,65,2.0,16,2,621,161.0,20.0,279.0,26.0,45.0,366,21.0,210.0,72.0
9,203,56,25,0.240521327014218,0.2880434782608696,0.38507109004739337,0.6731145683082629,109.0,74,1.0,41,3,844,118.0,17.0,123.0,21.0,33.0,308,23.0,200.0,74.0
12,1279,405,121,0.2791966819471731,0.3339236521054703,0.4112639161755075,0.7451875682809779,674.0,511,28.0,214,14,4581,515.0,162.0,610.0,102.0,28.0,1306,24.0,190.0,72.0
11,360,150,35,0.22712933753943215,0.294791070406411,0.34069400630914826,0.6354850767155593,192.0,114,3.0,69,3,1585,213.0,32.0,204.0,39.0,59.0,608,22.0,175.0,72.0
3,72,27,2,0.2571428571428571,0.3184713375796178,0.3535714285714286,0.6720427661510464,19.0,24,1.0,15,3,280,40.0,15.0,203.0,18.0,32.0,120,23.0,195.0,74.0
1,2,0,0,0.13333333333333333,0.125,0.2,0.325,0.0,2,0.0,1,0,15,4.0,0.0,20.0,0.0,95.0,31,22.0,172.0,71.0
7,291,194,46,0.23505654281098545,0.3408624229979466,0.39176090468497576,0.7326233276829224,171.0,155,11.0,50,3,1238,228.0,156.0,142.0,22.0,38.0,497,25.0,210.0,75.0
2,2,0,0,0.125,0.10526315789473684,0.125,0.23026315789473684,0.0,1,0.0,0,0,16,5.0,2.0,7.0,1.0,21.0,19,24.0,245.0,75.0
3,13,5,1,0.16455696202531644,0.21176470588235294,0.2278481012658228,0.4396128071481757,4.0,5,0.0,2,0,79,26.0,2.0,2.0,3.0,60.0,38,26.0,200.0,72.0
9,4,3,0,0.12121212121212123,0.175,0.15151515151515152,0.32651515151515154,3.0,3,0.0,1,0,33,14.0,0.0,36.0,4.0,11.0,330,24.0,185.0,71.0
17,618,230,58,0.22530076558512574,0.2786458333333333,0.3426904848705797,0.621336318203913,321.0,245,5.0,128,10,2743,419.0,60.0,397.0,70.0,31.0,1049,21.0,190.0,70.0
7,25,3,0,0.2032520325203252,0.21705426356589147,0.2195121951219512,0.4365664586878427,13.0,8,0.0,2,0,123,16.0,3.0,85.0,4.0,79.0,121,23.0,180.0,73.0
12,976,386,68,0.2801377726750861,0.351123595505618,0.4133180252583238,0.7644416207639417,428.0,459,79.0,162,49,3484,677.0,12.0,67.0,57.0,29.0,1085,25.0,190.0,74.0
6,234,96,17,0.2298624754420432,0.2911944202266783,0.3349705304518664,0.6261649506785447,111.0,107,8.0,38,9,1018,189.0,189.0,793.0,38.0,36.0,370,22.0,185.0,74.0
10,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,6,3.0,3.0,75.0,8.0,9.0,593,25.0,225.0,73.0
4,11,6,0,0.18032786885245905,0.2463768115942029,0.2295081967213115,0.4758850083155144,2.0,3,0.0,3,0,61,21.0,1.0,72.0,1.0,61.0,102,29.0,205.0,74.0
1,0,1,0,0.0,0.25,0.0,0.25,0.0,0,0.0,0,0,3,0.0,0.0,0.0,0.0,95.0,2,24.0,160.0,71.0
2,8,4,1,0.1509433962264151,0.20689655172413796,0.22641509433962265,0.4333116460637606,2.0,4,0.0,1,0,53,10.0,5.0,26.0,0.0,15.0,35,26.0,160.0,70.0
1,1,0,0,1.0,1.0,1.0,2.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,94.0,1,21.0,175.0,70.0
9,559,208,36,0.2774193548387097,0.3541846419327006,0.3861042183622829,0.7402888602949835,210.0,264,48.0,97,7,2015,252.0,10.0,17.0,18.0,9.0,785,27.0,195.0,74.0
6,49,1,8,0.22897196261682246,0.2325581395348837,0.4018691588785047,0.6344272984133884,21.0,28,4.0,7,3,214,66.0,0.0,3.0,5.0,30.0,109,23.0,185.0,72.0
9,746,268,113,0.2604748603351955,0.32546427447277304,0.44937150837988826,0.7748357828526613,444.0,368,19.0,164,19,2864,520.0,547.0,363.0,45.0,27.0,855,23.0,205.0,75.0
1,2,0,1,0.18181818181818185,0.18181818181818185,0.4545454545454545,0.6363636363636364,1.0,3,0.0,0,0,11,1.0,1.0,6.0,1.0,78.0,7,22.0,165.0,71.0
10,238,154,6,0.22796934865900384,0.32326530612244897,0.3045977011494253,0.6278630072718743,80.0,91,3.0,40,11,1044,183.0,33.0,225.0,40.0,34.0,426,22.0,170.0,71.0
2,27,18,3,0.24107142857142855,0.3409090909090909,0.4107142857142857,0.7516233766233766,21.0,8,0.0,10,0,112,25.0,6.0,63.0,8.0,42.0,55,24.0,180.0,71.0
6,227,33,4,0.23719958202716826,0.25513196480938416,0.2852664576802508,0.540398422489635,63.0,106,25.0,24,5,957,123.0,144.0,758.0,67.0,29.0,356,23.0,175.0,71.0
8,10,2,0,0.09090909090909093,0.09917355371900828,0.09090909090909093,0.1900826446280992,3.0,3,0.0,0,0,110,31.0,3.0,58.0,2.0,64.0,147,19.0,170.0,70.0
2,2,1,0,0.15384615384615385,0.26666666666666666,0.3076923076923077,0.5743589743589743,2.0,2,0.0,0,1,13,3.0,0.0,5.0,0.0,71.0,17,22.0,170.0,71.0
4,116,49,1,0.24892703862660945,0.308411214953271,0.3283261802575107,0.6367373952107818,52.0,57,6.0,20,7,466,59.0,121.0,83.0,12.0,63.0,175,26.0,190.0,72.0
10,110,16,1,0.1839464882943144,0.1941448382126348,0.21237458193979933,0.4065194201524341,37.0,43,0.0,14,0,598,92.0,25.0,402.0,13.0,72.0,343,26.0,220.0,74.0
7,6,9,0,0.05128205128205128,0.11278195488721805,0.05128205128205128,0.1640640061692693,6.0,1,0.0,0,0,117,79.0,2.0,55.0,5.0,40.0,134,22.0,210.0,74.0
5,39,10,3,0.19402985074626866,0.22935779816513766,0.3034825870646766,0.5328403852298143,29.0,16,0.0,7,3,201,58.0,8.0,15.0,2.0,19.0,173,25.0,200.0,74.0
1,9,2,0,0.39130434782608703,0.4230769230769231,0.39130434782608703,0.81438127090301,5.0,1,0.0,0,0,23,2.0,4.0,4.0,2.0,72.0,14,30.0,165.0,72.0
2,26,4,0,0.2857142857142857,0.31958762886597936,0.3406593406593407,0.6602469695253199,8.0,10,0.0,3,1,91,5.0,3.0,24.0,3.0,92.0,44,27.0,165.0,64.0
6,149,55,0,0.22008862629246675,0.2786666666666667,0.2644017725258493,0.543068439192516,44.0,67,1.0,22,4,677,74.0,96.0,559.0,38.0,41.0,297,21.0,175.0,74.0
1,6,2,1,0.13953488372093026,0.17391304347826084,0.2558139534883721,0.42972699696663297,4.0,2,0.0,2,0,43,13.0,0.0,0.0,0.0,20.0,21,26.0,185.0,71.0
10,62,8,1,0.14903846153846154,0.1513859275053305,0.17307692307692307,0.32446285058225355,21.0,17,1.0,5,1,416,141.0,3.0,144.0,7.0,33.0,325,22.0,185.0,74.0
3,2,0,0,0.125,0.125,0.125,0.25,3.0,0,0.0,0,0,16,5.0,2.0,27.0,0.0,39.0,82,24.0,195.0,73.0
1,2,0,1,0.2,0.2,0.6,0.8,3.0,2,0.0,1,0,10,4.0,1.0,3.0,0.0,72.0,10,26.0,190.0,70.0
1,24,12,1,0.2727272727272727,0.35294117647058826,0.3863636363636364,0.7393048128342246,8.0,13,0.0,7,0,88,9.0,21.0,17.0,4.0,92.0,27,31.0,175.0,71.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,1.0,0.0,0.0,0.0,48.0,8,23.0,200.0,76.0
3,13,10,1,0.1262135922330097,0.22033898305084745,0.17475728155339804,0.3950962646042455,7.0,9,1.0,2,0,103,20.0,0.0,13.0,3.0,22.0,51,26.0,205.0,74.0
16,42,22,0,0.12316715542521996,0.17232375979112272,0.1495601173020528,0.3218838770931755,14.0,12,0.0,9,0,341,164.0,18.0,382.0,37.0,34.0,536,21.0,205.0,74.0
7,1,0,0,0.07692307692307693,0.07142857142857142,0.07692307692307693,0.14835164835164835,0.0,1,0.0,0,0,13,10.0,0.0,21.0,3.0,28.0,106,23.0,160.0,73.0
1,3,1,0,0.21428571428571427,0.26666666666666666,0.2857142857142857,0.5523809523809524,0.0,0,0.0,1,0,14,0.0,0.0,4.0,1.0,59.0,10,25.0,175.0,70.0
16,975,358,100,0.268373245251858,0.3382999511480215,0.4115056427195156,0.749805593867537,494.0,538,23.0,196,12,3633,707.0,303.0,1657.0,79.0,4.0,1241,23.0,215.0,73.0
1,1,6,0,0.02631578947368421,0.14583333333333334,0.02631578947368421,0.17214912280701755,1.0,2,0.0,0,0,38,25.0,0.0,9.0,2.0,59.0,31,25.0,190.0,76.0
4,9,3,1,0.1097560975609756,0.12903225806451613,0.15853658536585366,0.2875688434303698,3.0,5,0.0,1,0,82,44.0,2.0,52.0,4.0,63.0,100,29.0,187.0,72.0
4,52,22,4,0.16352201257861634,0.2138728323699422,0.22641509433962265,0.4402879267095649,13.0,34,4.0,6,1,318,77.0,1.0,6.0,4.0,48.0,146,24.0,160.0,70.0
7,46,2,0,0.19658119658119655,0.17266187050359713,0.2478632478632479,0.420525118366845,13.0,14,0.0,10,1,234,70.0,7.0,122.0,4.0,31.0,142,26.0,205.0,75.0
8,553,447,70,0.26109537299339,0.3905165767154973,0.4197355996222852,0.8102521763377825,284.0,305,16.0,106,10,2118,431.0,486.0,425.0,44.0,23.0,703,26.0,200.0,74.0
2,92,36,0,0.2414698162729659,0.3049645390070922,0.2965879265091864,0.6015524655162785,39.0,32,1.0,13,4,381,43.0,79.0,336.0,26.0,72.0,124,29.0,172.0,70.0
5,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,17,10.0,1.0,19.0,2.0,39.0,159,23.0,180.0,75.0
3,11,6,0,0.18032786885245905,0.25,0.21311475409836064,0.4631147540983607,6.0,3,0.0,2,0,61,18.0,2.0,31.0,2.0,27.0,35,25.0,190.0,73.0
8,100,35,6,0.1851851851851852,0.2255389718076285,0.2518518518518518,0.4773908236594804,54.0,47,1.0,12,3,540,141.0,23.0,334.0,14.0,77.0,298,26.0,180.0,73.0
3,5,4,0,0.14285714285714285,0.25,0.2,0.45,2.0,4,0.0,2,0,35,9.0,2.0,29.0,3.0,69.0,74,22.0,190.0,71.0
9,801,493,129,0.26673326673326675,0.3703912186884323,0.4528804528804529,0.8232716715688853,482.0,492,33.0,104,34,3003,337.0,207.0,1603.0,150.0,61.0,932,22.0,174.0,69.0
2,40,7,0,0.2684563758389262,0.2974683544303797,0.2885906040268457,0.5860589584572253,14.0,15,1.0,3,0,149,10.0,1.0,3.0,3.0,72.0,54,22.0,170.0,73.0
6,25,3,1,0.1201923076923077,0.1217391304347826,0.16826923076923078,0.2900083612040134,14.0,11,0.0,7,0,208,80.0,5.0,118.0,9.0,70.0,162,24.0,205.0,77.0
2,2,1,0,0.14285714285714285,0.2,0.14285714285714285,0.3428571428571429,0.0,2,0.0,0,0,14,5.0,0.0,7.0,0.0,32.0,19,26.0,180.0,74.0
12,1081,189,29,0.2707237665915352,0.3016022620169651,0.3526170798898072,0.6542193419067723,393.0,466,76.0,180,30,3993,251.0,745.0,2177.0,181.0,64.0,1079,22.0,200.0,75.0
1,2,0,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142,0.0,1,0.0,1,0,7,3.0,0.0,5.0,1.0,64.0,7,24.0,170.0,69.0
3,41,18,3,0.2252747252747253,0.2912621359223301,0.3296703296703297,0.6209324655926598,23.0,20,4.0,10,0,182,57.0,22.0,147.0,9.0,16.0,110,26.0,185.0,72.0
10,41,7,2,0.18385650224215247,0.2,0.2286995515695067,0.4286995515695067,15.0,21,0.0,4,0,223,64.0,12.0,148.0,2.0,59.0,261,23.0,190.0,75.0
11,64,24,11,0.14988290398126464,0.17391304347826084,0.26697892271662765,0.4408919661948885,46.0,31,2.0,13,2,427,223.0,6.0,177.0,24.0,34.0,243,20.0,215.0,76.0
1,1,0,0,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.16025641025641024,0.0,1,0.0,0,0,12,6.0,0.0,19.0,0.0,96.0,18,24.0,160.0,70.0
5,8,2,1,0.12698412698412698,0.16176470588235295,0.20634920634920634,0.3681139122315593,5.0,3,0.0,2,0,63,28.0,2.0,46.0,3.0,52.0,142,26.0,175.0,73.0
11,382,164,27,0.2627235213204952,0.33535476046088536,0.3775790921595598,0.7129338526204452,178.0,156,7.0,66,10,1454,183.0,20.0,148.0,34.0,32.0,621,21.0,175.0,71.0
9,446,145,37,0.2528344671201814,0.3067010309278351,0.3656462585034014,0.6723472894312365,176.0,178,20.0,64,12,1764,315.0,33.0,50.0,19.0,47.0,708,20.0,210.0,76.0
1,1,0,0,0.2,0.2,0.2,0.4,0.0,0,0.0,0,0,5,0.0,0.0,4.0,0.0,50.0,2,27.0,155.0,69.0
4,1,1,0,0.1111111111111111,0.15384615384615385,0.1111111111111111,0.26495726495726496,0.0,1,0.0,0,0,9,2.0,1.0,13.0,0.0,11.0,23,24.0,195.0,73.0
1,6,3,0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.7619047619047619,0.0,3,1.0,0,0,18,2.0,3.0,18.0,4.0,78.0,11,26.0,160.0,66.0
10,1103,452,123,0.2624315964787057,0.33319256756756754,0.4189864382583869,0.7521790058259544,528.0,596,88.0,199,45,4203,642.0,847.0,802.0,103.0,29.0,1264,21.0,185.0,72.0
1,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0,0.0,0,0,3,0.0,0.0,2.0,0.0,95.0,2,22.0,185.0,73.0
4,14,5,0,0.12844036697247707,0.15447154471544716,0.13761467889908258,0.2920862236145297,3.0,5,0.0,1,0,109,51.0,5.0,57.0,5.0,37.0,62,20.0,182.0,77.0
3,43,6,0,0.25903614457831325,0.2989130434782609,0.3132530120481928,0.6121660555264536,12.0,19,2.0,7,1,166,25.0,30.0,150.0,8.0,22.0,84,26.0,185.0,71.0
13,1250,425,44,0.2840909090909091,0.3409136647212719,0.38795454545454544,0.7288682101758173,482.0,618,33.0,195,65,4400,130.0,268.0,2326.0,172.0,83.0,1314,25.0,155.0,66.0
4,8,0,0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.3809523809523809,4.0,3,0.0,0,0,42,3.0,1.0,41.0,0.0,93.0,34,23.0,180.0,72.0
9,163,69,36,0.24696969696969695,0.3225806451612903,0.4636363636363636,0.7862170087976539,121.0,92,4.0,33,1,660,175.0,29.0,35.0,12.0,18.0,330,23.0,185.0,76.0
6,292,132,4,0.2383673469387755,0.3101449275362319,0.2946938775510204,0.6048388050872523,86.0,96,19.0,35,11,1225,133.0,162.0,840.0,36.0,43.0,405,23.0,160.0,71.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,95.0,1,25.0,170.0,71.0
1,7,2,0,0.18421052631578946,0.20930232558139536,0.2368421052631579,0.4461444308445533,3.0,3,0.0,0,1,38,13.0,2.0,26.0,3.0,74.0,33,27.0,170.0,70.0
13,104,20,1,0.17900172117039587,0.18777943368107305,0.2134251290877797,0.4012045627688528,37.0,40,0.0,17,0,581,117.0,31.0,338.0,21.0,26.0,394,26.0,195.0,73.0
2,28,12,0,0.19310344827586207,0.2515723270440252,0.2275862068965517,0.4791585339405769,3.0,15,1.0,1,2,145,22.0,0.0,0.0,3.0,49.0,67,27.0,185.0,73.0
12,967,364,38,0.2662444933920705,0.33422200678623365,0.3502202643171806,0.6844422711034143,357.0,471,50.0,141,25,3632,586.0,516.0,2597.0,127.0,13.0,1119,23.0,175.0,73.0
4,130,59,9,0.20504731861198736,0.2747875354107649,0.30914826498422715,0.583935800394992,57.0,64,9.0,27,6,634,142.0,125.0,526.0,30.0,51.0,217,26.0,170.0,70.0
10,19,3,0,0.21348314606741567,0.21153846153846154,0.2247191011235955,0.43625756266205706,3.0,3,0.0,1,0,89,11.0,3.0,142.0,5.0,16.0,267,26.0,190.0,73.0
2,8,3,0,0.27586206896551724,0.35294117647058826,0.3448275862068966,0.6977687626774849,2.0,4,2.0,0,1,29,5.0,7.0,21.0,0.0,40.0,16,24.0,163.0,68.0
3,6,0,1,0.2307692307692308,0.2222222222222222,0.5,0.7222222222222222,1.0,7,0.0,0,2,26,7.0,1.0,16.0,0.0,58.0,49,24.0,195.0,74.0
7,228,36,4,0.2352941176470588,0.2630057803468208,0.2972136222910217,0.5602194026378424,66.0,90,13.0,32,8,969,132.0,128.0,692.0,49.0,34.0,370,25.0,162.0,71.0
4,11,4,0,0.10476190476190476,0.13274336283185842,0.10476190476190476,0.2375052675937632,6.0,7,0.0,0,0,105,11.0,3.0,65.0,5.0,83.0,92,25.0,168.0,71.0
1,66,51,3,0.2129032258064516,0.33060109289617484,0.3161290322580645,0.6467301251542393,31.0,48,15.0,7,8,310,53.0,1.0,8.0,7.0,64.0,105,26.0,180.0,69.0
3,69,13,3,0.2653846153846154,0.3159722222222222,0.3538461538461539,0.669818376068376,29.0,27,5.0,12,1,260,43.0,53.0,37.0,9.0,52.0,98,28.0,173.0,73.0
1,4,1,0,0.5,0.5,0.5,1.0,1.0,1,0.0,0,0,8,1.0,0.0,0.0,0.0,92.0,7,23.0,165.0,69.0
11,443,390,123,0.2389428263214671,0.3734149540883253,0.4800431499460626,0.8534581040343878,313.0,308,10.0,64,7,1854,449.0,96.0,70.0,13.0,27.0,761,26.0,209.0,73.0
6,114,24,7,0.2179732313575526,0.2491103202846975,0.33078393881453155,0.5798942590992291,51.0,49,2.0,26,6,523,99.0,62.0,355.0,20.0,36.0,225,23.0,170.0,72.0
2,2,0,0,0.2,0.18181818181818185,0.2,0.3818181818181817,0.0,0,0.0,0,0,10,0.0,2.0,14.0,1.0,57.0,29,25.0,170.0,72.0
